transaction_date,category,transactions,units_sold,net_revenue,gross_profit
2024-01-18,Sports,4,11,3552.6400000000003,1283.68
2024-01-19,Apparel,4,9,2811.79,928.22
2024-01-19,Electronics,1,4,545.48,308.44
2024-01-19,Grocery,2,3,1058.99,464.65999999999997
2024-01-19,Home,2,4,212.45,41.15
2024-01-19,Sports,5,17,7278.55,2258.5
2024-01-20,Apparel,2,8,1238.58,355.31
2024-01-20,Electronics,3,11,3706.36,1207.51
2024-01-20,Grocery,3,13,5623.92,2426.02
2024-01-20,Home,3,10,4654.74,1807.49
2024-01-20,Sports,5,12,3531.04,1592.53
2024-01-21,Apparel,2,5,1854.03,713.1999999999999
2024-01-21,Grocery,5,14,5233.39,2032.24
2024-01-21,Home,5,18,6768.14,2567.12
2024-01-21,Sports,4,9,1807.62,520.2900000000001
2024-01-22,Apparel,5,9,1158.72,458.15999999999997
2024-01-22,Electronics,3,12,4244.51,1249.31
2024-01-22,Home,3,15,2866.93,856.48
2024-01-23,Apparel,6,17,8257.07,3794.31
2024-01-23,Electronics,4,13,2782.23,708.8900000000001
2024-01-23,Grocery,2,7,935.9000000000001,396.78
2024-01-23,Home,2,8,1402.58,500.58
2024-01-23,Sports,1,4,1353.27,678.03
2024-01-24,Apparel,1,4,1967.24,817.96
2024-01-24,Electronics,1,5,155.7,71.25
2024-01-24,Grocery,3,7,3591.44,1692.5300000000002
2024-01-24,Home,4,7,1654.6799999999998,449.43
2024-01-24,Sports,3,10,3444.24,1538.96
2024-01-25,Apparel,2,5,934.52,394.32
2024-01-25,Electronics,1,5,1006.65,169.2
2024-01-25,Grocery,2,7,2407.4900000000002,1139.23
2024-01-25,Home,4,11,1971.23,724.15
2024-01-25,Sports,6,18,7833.26,2472.64
2024-01-26,Apparel,2,8,4090.1499999999996,1652.31
2024-01-26,Electronics,2,7,538.23,118.8
2024-01-26,Grocery,3,8,1620.88,444.94
2024-01-26,Home,2,8,1755.6799999999998,902.12
2024-01-26,Sports,2,7,2488.8199999999997,1212.14
2024-01-27,Apparel,2,6,2440.73,873.6700000000001
2024-01-27,Electronics,3,10,2394.48,904.4300000000001
2024-01-27,Grocery,1,3,184.26,79.47
2024-01-27,Home,1,1,488.55,138.47
2024-01-27,Sports,5,10,1591.2,594.34
2024-01-28,Apparel,2,8,2107.2,604.84
2024-01-28,Electronics,1,2,1108.2,629.76
2024-01-28,Grocery,4,14,3551.6000000000004,1239.32
2024-01-28,Home,1,5,2436.75,995.0
2024-01-28,Sports,3,9,3023.54,1298.78
2024-01-29,Electronics,3,13,5281.349999999999,1566.45
2024-01-29,Grocery,2,7,3388.29,1682.33
2024-01-29,Sports,1,4,484.96,93.32
2024-01-30,Apparel,4,14,6002.23,2215.37
2024-01-30,Electronics,1,4,2306.36,777.0
2024-01-30,Grocery,3,5,1602.92,536.36
2024-01-30,Home,3,11,3188.25,1248.2
2024-01-30,Sports,3,8,1496.12,423.68
2024-01-31,Apparel,3,9,1465.82,612.51
2024-01-31,Electronics,2,7,1263.9,701.01
2024-01-31,Grocery,3,7,1616.0900000000001,510.40000000000003
2024-01-31,Home,2,7,4398.8099999999995,1913.1799999999998
2024-01-31,Sports,7,23,10568.970000000001,4270.7699999999995
2024-02-01,Apparel,3,8,2135.6,841.6899999999999
2024-02-01,Electronics,6,19,6725.71,2120.33
2024-02-01,Grocery,1,5,115.7,62.7
2024-02-01,Home,1,5,1954.2,203.8
2024-02-01,Sports,2,7,2732.17,723.04
2024-02-02,Apparel,3,8,1743.38,531.6899999999999
2024-02-02,Electronics,1,1,399.84,170.29
2024-02-02,Grocery,1,2,198.74,107.86
2024-02-02,Home,2,5,963.4300000000001,493.98
2024-02-02,Sports,3,10,3720.85,1543.51
2024-02-03,Apparel,4,18,5222.52,2510.31
2024-02-03,Electronics,2,5,1157.35,402.24
2024-02-03,Grocery,2,5,1516.91,751.39
2024-02-03,Home,1,3,955.39,140.26
2024-02-03,Sports,2,5,1716.1599999999999,424.37
2024-02-04,Apparel,3,12,3524.66,1357.36
2024-02-04,Electronics,3,11,3889.7400000000002,1925.28
2024-02-04,Grocery,2,5,1878.35,824.09
2024-02-04,Home,5,17,4110.67,1589.29
2024-02-04,Sports,2,8,3421.76,1213.58
2024-02-05,Apparel,3,13,3737.7599999999998,1332.44
2024-02-05,Electronics,4,6,2132.39,1064.66
2024-02-05,Grocery,2,9,1996.0100000000002,768.58
2024-02-05,Home,2,9,3829.35,953.59
2024-02-05,Sports,2,3,896.13,373.46000000000004
2024-02-06,Apparel,3,12,4035.25,1289.98
2024-02-06,Electronics,3,7,3674.48,1900.05
2024-02-06,Grocery,2,3,238.68,99.37
2024-02-06,Home,4,13,2650.8999999999996,1074.3200000000002
2024-02-06,Sports,1,5,3376.35,1709.3
2024-02-07,Apparel,4,9,1339.5,564.95
2024-02-07,Electronics,3,6,1873.88,916.13
2024-02-07,Grocery,2,8,672.4100000000001,312.76
2024-02-07,Home,3,10,3849.5299999999997,1075.11
2024-02-07,Sports,1,1,412.37,215.07
2024-02-08,Apparel,3,7,1828.21,626.61
2024-02-08,Electronics,3,6,1112.92,344.06
2024-02-08,Grocery,6,17,7400.610000000001,3461.45
2024-02-08,Home,2,5,841.94,322.6
2024-02-08,Sports,2,7,3734.46,1446.17
2024-02-09,Apparel,2,7,1348.8600000000001,460.73
2024-02-09,Electronics,3,8,3620.88,1189.92
2024-02-09,Grocery,3,9,6598.28,3615.98
2024-02-09,Home,5,14,1773.46,417.25
2024-02-09,Sports,2,4,1242.11,254.26999999999998
2024-02-10,Apparel,2,4,1811.48,736.8
2024-02-10,Grocery,2,4,1820.67,631.48
2024-02-10,Home,2,2,356.81,125.88
2024-02-10,Sports,7,22,7842.35,3571.14
2024-02-11,Apparel,3,12,1169.17,431.92
2024-02-11,Electronics,3,9,2374.44,1043.55
2024-02-11,Grocery,4,10,4347.99,1990.94
2024-02-11,Home,3,5,3025.04,1336.98
2024-02-11,Sports,2,7,2196.5299999999997,1049.15
2024-02-12,Apparel,3,7,2669.48,729.34
2024-02-12,Electronics,2,6,1803.77,757.13
2024-02-12,Grocery,3,7,2096.1800000000003,962.02
2024-02-12,Home,2,4,1190.13,489.79999999999995
2024-02-12,Sports,1,4,1306.12,373.0
2024-02-13,Apparel,4,8,2867.93,1077.7600000000002
2024-02-13,Electronics,4,16,1942.67,329.14
2024-02-13,Grocery,5,17,5800.87,2582.82
2024-02-13,Home,4,16,3091.93,1310.95
2024-02-13,Sports,5,13,6103.13,2022.61
2024-02-14,Apparel,2,6,3292.9,1364.3600000000001
2024-02-14,Electronics,1,2,1015.6,266.5
2024-02-14,Grocery,4,11,6003.3,2551.09
2024-02-14,Home,3,11,4969.46,2297.05
2024-02-15,Apparel,4,10,4560.75,1733.13
2024-02-15,Electronics,5,14,4334.09,1210.15
2024-02-15,Grocery,2,8,2141.44,909.6300000000001
2024-02-16,Apparel,2,8,4039.8,1876.26
2024-02-16,Electronics,5,17,4358.54,1625.97
2024-02-16,Grocery,1,4,322.64,92.16
2024-02-16,Home,5,11,3135.62,1356.03
2024-02-16,Sports,3,10,3715.46,1850.48
2024-02-17,Apparel,2,8,3582.95,1938.07
2024-02-17,Electronics,3,8,2345.24,882.46
2024-02-17,Grocery,2,9,2679.42,1365.87
2024-02-17,Sports,2,7,2659.99,1340.07
2024-02-18,Apparel,1,5,696.55,329.8
2024-02-18,Electronics,4,14,7189.38,3085.44
2024-02-18,Grocery,3,11,4385.6900000000005,1927.9099999999999
2024-02-18,Home,4,15,5686.82,1757.3400000000001
2024-02-18,Sports,1,4,1901.4,466.72
2024-02-19,Apparel,4,12,4374.4400000000005,1736.02
2024-02-19,Electronics,1,5,1430.45,317.9
2024-02-19,Grocery,3,7,4063.5699999999997,2218.27
2024-02-19,Home,1,1,82.51,42.91
2024-02-19,Sports,2,6,2902.92,1247.94
2024-02-20,Apparel,7,24,10410.16,4426.73
2024-02-20,Electronics,1,3,436.53,134.61
2024-02-20,Grocery,2,5,1235.5,703.1999999999999
2024-02-20,Home,2,8,1399.3999999999999,359.61
2024-02-20,Sports,2,5,2760.99,1127.26
2024-02-21,Apparel,4,6,2156.37,999.8900000000001
2024-02-21,Electronics,1,4,1627.12,774.12
2024-02-21,Grocery,3,8,4304.8,2225.7
2024-02-21,Home,2,8,562.38,96.32000000000001
2024-02-21,Sports,3,9,3248.04,1443.22
2024-02-22,Apparel,2,6,3077.57,1263.3600000000001
2024-02-22,Electronics,3,11,5480.51,2772.9500000000003
2024-02-22,Grocery,1,4,997.36,294.12
2024-02-22,Home,3,9,1914.1799999999998,940.5799999999999
2024-02-22,Sports,5,12,7307.7,2978.08
2024-02-23,Apparel,4,12,6615.1,3022.07
2024-02-23,Grocery,3,10,3106.67,1373.33
2024-02-23,Home,5,17,4142.36,1272.89
2024-02-23,Sports,1,3,867.17,246.2
2024-02-24,Apparel,3,7,1515.75,804.14
2024-02-24,Electronics,1,5,1297.85,550.65
2024-02-24,Grocery,2,7,1502.81,705.4
2024-02-24,Home,5,10,2812.26,536.62
2024-02-24,Sports,2,3,1376.18,662.4499999999999
2024-02-25,Apparel,4,7,2506.58,912.5100000000001
2024-02-25,Electronics,3,10,3774.9900000000002,1729.42
2024-02-25,Grocery,3,5,475.11,165.93
2024-02-25,Home,2,4,273.62,135.39
2024-02-25,Sports,5,13,6734.86,2854.94
2024-02-26,Apparel,2,4,2113.06,776.5699999999999
2024-02-26,Electronics,1,4,1080.68,569.72
2024-02-26,Grocery,6,17,6689.14,2905.75
2024-02-26,Home,5,9,3872.66,1854.98
2024-02-27,Apparel,2,7,728.9399999999999,297.54
2024-02-27,Electronics,2,5,659.86,209.95999999999998
2024-02-27,Grocery,3,12,3827.86,1565.98
2024-02-27,Home,3,5,1098.89,305.54
2024-02-27,Sports,3,9,3868.83,1226.03
2024-02-28,Apparel,3,12,3580.1000000000004,970.7800000000001
2024-02-28,Electronics,2,8,1624.87,808.39
2024-02-28,Grocery,2,9,3117.6600000000003,1433.4699999999998
2024-02-28,Home,3,12,2629.92,665.33
2024-02-28,Sports,5,16,7829.01,3247.83
2024-02-29,Apparel,4,16,6315.9,2778.29
2024-02-29,Electronics,1,2,1153.18,388.5
2024-02-29,Grocery,2,7,3585.4900000000002,1528.27
2024-02-29,Home,2,5,1987.51,595.68
2024-02-29,Sports,2,10,5772.1,2325.45
2024-03-01,Apparel,1,3,368.4,88.2
2024-03-01,Electronics,3,12,4049.55,1882.02
2024-03-01,Grocery,5,15,6384.49,2547.54
2024-03-01,Home,1,2,825.66,437.74
2024-03-01,Sports,2,2,857.8199999999999,369.88
2024-03-02,Apparel,3,10,1780.75,758.66
2024-03-02,Electronics,1,3,1579.18,861.52
2024-03-02,Grocery,2,6,1844.03,681.59
2024-03-02,Sports,2,7,3174.84,1685.0700000000002
2024-03-03,Apparel,3,12,1588.5700000000002,628.85
2024-03-03,Grocery,8,20,7617.12,3282.39
2024-03-03,Sports,1,3,912.81,291.84
2024-03-04,Apparel,3,10,1549.6999999999998,587.03
2024-03-04,Electronics,2,4,760.83,362.21000000000004
2024-03-04,Grocery,1,5,1331.5,703.95
2024-03-04,Home,6,17,4965.629999999999,2079.08
2024-03-05,Apparel,1,3,981.84,532.95
2024-03-05,Electronics,1,2,469.22,161.92
2024-03-05,Grocery,1,2,1243.64,615.66
2024-03-05,Home,4,17,4719.79,1504.47
2024-03-06,Apparel,2,10,5330.35,2245.8
2024-03-06,Electronics,4,14,7485.07,3825.71
2024-03-06,Home,2,6,1686.51,838.31
2024-03-06,Sports,3,10,3582.38,1498.15
2024-03-07,Apparel,5,15,4578.68,1347.23
2024-03-07,Electronics,3,9,3170.9900000000002,1312.33
2024-03-07,Grocery,3,4,1389.78,666.49
2024-03-07,Home,4,10,3470.5199999999995,1456.78
2024-03-07,Sports,1,2,608.54,194.56
2024-03-08,Apparel,4,12,4697.9400000000005,1922.0100000000002
2024-03-08,Grocery,1,1,590.73,276.74
2024-03-08,Home,2,5,2471.34,1027.6599999999999
2024-03-09,Apparel,2,8,1727.2800000000002,919.52
2024-03-09,Electronics,5,18,3935.66,1647.87
2024-03-09,Grocery,4,11,2024.53,937.94
2024-03-09,Home,2,5,254.46,34.96
2024-03-10,Apparel,1,4,1644.28,755.0
2024-03-10,Electronics,5,12,5189.8,2329.24
2024-03-10,Grocery,4,15,5506.68,2604.05
2024-03-10,Home,2,6,1923.2,754.0799999999999
2024-03-11,Apparel,4,12,4900.97,2047.29
2024-03-11,Electronics,2,5,1901.64,277.12
2024-03-11,Grocery,2,7,1740.4900000000002,885.31
2024-03-11,Home,1,1,487.35,199.0
2024-03-11,Sports,3,5,1784.79,457.74
2024-03-12,Apparel,2,6,1408.27,667.99
2024-03-12,Electronics,3,8,4646.67,1884.6399999999999
2024-03-12,Grocery,2,6,1609.51,582.49
2024-03-12,Home,5,17,6092.92,1785.2
2024-03-12,Sports,3,9,5740.719999999999,2712.33
2024-03-13,Apparel,3,13,1878.19,853.0500000000001
2024-03-13,Electronics,3,10,3091.32,898.85
2024-03-13,Grocery,5,13,5049.32,2017.05
2024-03-13,Home,2,8,1895.0800000000002,853.1600000000001
2024-03-13,Sports,2,8,1930.1200000000001,883.52
2024-03-14,Apparel,2,8,1383.69,525.79
2024-03-14,Electronics,2,6,851.6800000000001,297.74
2024-03-14,Grocery,2,4,1286.24,342.72
2024-03-14,Home,7,14,5278.389999999999,2212.23
2024-03-14,Sports,2,6,3350.02,1526.74
2024-03-15,Apparel,1,2,155.36,79.68
2024-03-15,Electronics,5,18,5417.27,2321.63
2024-03-15,Grocery,3,7,3119.19,1360.73
2024-03-15,Home,8,16,3035.1600000000003,847.79
2024-03-15,Sports,2,6,3613.77,1657.01
2024-03-16,Apparel,5,16,4182.18,1174.95
2024-03-16,Home,2,5,589.41,86.05
2024-03-16,Sports,4,9,5230.82,2267.68
2024-03-17,Apparel,7,19,4164.15,1684.76
2024-03-17,Electronics,5,13,1445.3500000000001,489.40999999999997
2024-03-17,Grocery,6,26,9451.07,3382.01
2024-03-17,Home,4,10,1373.66,511.57
2024-03-17,Sports,6,22,10448.89,3668.74
2024-03-18,Apparel,1,1,143.96,35.7
2024-03-18,Electronics,4,9,3349.28,1201.37
2024-03-18,Grocery,2,5,1162.3400000000001,314.42999999999995
2024-03-18,Home,2,2,141.84,71.16
2024-03-18,Sports,1,5,2020.24,226.89
2024-03-19,Apparel,2,6,2550.48,970.93
2024-03-19,Electronics,3,9,5609.57,2406.94
2024-03-19,Grocery,2,7,2861.05,1074.0900000000001
2024-03-19,Home,5,18,3457.1600000000003,958.34
2024-03-19,Sports,2,7,3276.3999999999996,1717.17
2024-03-20,Apparel,3,6,831.29,384.49
2024-03-20,Electronics,3,12,2015.8,823.83
2024-03-20,Grocery,3,6,2066.08,1041.38
2024-03-20,Home,1,4,191.4,43.88
2024-03-20,Sports,5,14,7438.9400000000005,3351.08
2024-03-21,Apparel,3,11,5785.29,2885.69
2024-03-21,Electronics,2,5,864.29,323.84000000000003
2024-03-21,Grocery,4,11,3242.0299999999997,1358.04
2024-03-21,Sports,3,11,7356.18,3109.6099999999997
2024-03-22,Apparel,2,6,2121.77,876.86
2024-03-22,Electronics,4,12,3196.71,841.11
2024-03-22,Grocery,4,7,1968.86,554.21
2024-03-22,Home,4,10,2846.3999999999996,1044.11
2024-03-22,Sports,2,6,2096.7400000000002,807.52
2024-03-23,Apparel,4,15,3721.3900000000003,1500.09
2024-03-23,Electronics,7,26,10486.18,4197.04
2024-03-23,Grocery,2,7,2056.84,1117.5
2024-03-23,Home,4,16,4290.15,1398.06
2024-03-23,Sports,1,5,1636.25,333.05
2024-03-24,Apparel,3,11,5288.27,2780.23
2024-03-24,Grocery,5,16,4932.13,1847.1100000000001
2024-03-24,Home,1,1,54.14,10.24
2024-03-24,Sports,1,1,304.27,97.28
2024-03-25,Apparel,6,11,1643.93,608.94
2024-03-25,Electronics,3,11,3090.2599999999998,1270.31
2024-03-25,Grocery,2,8,5826.88,2762.52
2024-03-25,Home,3,9,2315.1499999999996,762.76
2024-03-25,Sports,3,11,5835.700000000001,1981.67
2024-03-26,Apparel,2,10,4817.0,1858.55
2024-03-26,Electronics,4,14,5070.98,2434.0
2024-03-26,Grocery,2,6,1343.8200000000002,658.72
2024-03-26,Home,2,6,2110.48,727.96
2024-03-26,Sports,2,8,3288.96,1416.52
2024-03-27,Apparel,3,9,2177.22,649.47
2024-03-27,Electronics,2,6,922.54,243.85
2024-03-27,Grocery,2,7,1000.24,418.55
2024-03-27,Home,3,9,2894.83,1070.3799999999999
2024-03-27,Sports,5,13,4153.04,1323.45
2024-03-28,Apparel,2,10,2504.4,968.45
2024-03-28,Electronics,4,13,2986.69,881.12
2024-03-28,Grocery,2,7,3338.47,1648.7399999999998
2024-03-28,Home,2,10,2448.91,590.61
2024-03-28,Sports,1,4,2266.21,877.17
2024-03-29,Apparel,3,5,3037.1099999999997,1528.74
2024-03-29,Electronics,2,4,1785.02,891.02
2024-03-29,Grocery,3,12,2029.79,537.47
2024-03-29,Home,3,7,4192.48,2161.87
2024-03-29,Sports,2,5,2912.52,1156.91
2024-03-30,Apparel,2,8,755.31,230.35
2024-03-30,Electronics,4,16,3972.3100000000004,1161.3899999999999
2024-03-30,Grocery,2,6,2705.7799999999997,1419.88
2024-03-30,Home,2,9,2790.96,767.61
2024-03-31,Apparel,1,5,1750.72,270.12
2024-03-31,Electronics,2,6,2192.12,1179.62
2024-03-31,Grocery,5,21,7231.780000000001,3038.55
2024-03-31,Home,2,3,719.4399999999999,136.42000000000002
2024-03-31,Sports,3,8,3469.72,1058.27
2024-04-01,Apparel,1,2,654.56,355.3
2024-04-01,Grocery,3,10,3499.29,946.83
2024-04-01,Home,4,15,5214.5599999999995,1643.54
2024-04-01,Sports,3,8,1896.93,840.1899999999999
2024-04-02,Apparel,3,11,3806.2200000000003,1463.35
2024-04-02,Electronics,3,5,1094.26,454.66999999999996
2024-04-02,Grocery,4,11,5170.370000000001,2370.09
2024-04-02,Home,1,1,487.35,199.0
2024-04-02,Sports,2,3,1193.44,348.18999999999994
2024-04-03,Apparel,1,4,104.08,59.76
2024-04-03,Electronics,3,7,5169.39,2752.2999999999997
2024-04-03,Home,1,5,203.36,18.96
2024-04-03,Sports,2,8,3103.05,1055.8400000000001
2024-04-04,Apparel,2,6,2207.4700000000003,560.56
2024-04-04,Electronics,2,6,1926.5099999999998,426.23
2024-04-04,Grocery,3,10,3665.86,1718.19
2024-04-04,Home,1,4,1004.68,261.36
2024-04-04,Sports,2,5,1855.85,600.4300000000001
2024-04-05,Apparel,3,4,941.87,259.08000000000004
2024-04-05,Electronics,1,1,201.33,33.84
2024-04-05,Grocery,1,4,245.68,105.96
2024-04-05,Home,2,10,1696.57,27.72
2024-04-05,Sports,4,9,5189.78,2420.77
2024-04-06,Apparel,6,14,5614.42,1553.0900000000001
2024-04-06,Electronics,3,10,5882.530000000001,2513.42
2024-04-06,Grocery,2,3,1508.76,660.77
2024-04-06,Home,3,9,3233.0899999999997,1416.8400000000001
2024-04-06,Sports,4,8,3862.36,2005.28
2024-04-07,Apparel,1,4,134.64,55.16
2024-04-07,Electronics,2,6,2337.62,750.68
2024-04-07,Grocery,4,11,5342.5,2510.6400000000003
2024-04-07,Home,4,16,5721.25,1112.41
2024-04-07,Sports,4,8,3556.18,1249.71
2024-04-08,Apparel,1,4,2878.08,1506.36
2024-04-08,Electronics,3,4,967.61,221.6
2024-04-08,Grocery,5,16,3806.75,1743.83
2024-04-08,Home,5,14,4785.58,1912.9499999999998
2024-04-08,Sports,4,8,2131.69,697.5
2024-04-09,Apparel,2,8,3628.56,1550.54
2024-04-09,Electronics,2,6,867.61,295.59
2024-04-09,Grocery,4,10,2451.74,1166.48
2024-04-09,Home,2,10,1960.65,417.7
2024-04-09,Sports,1,1,327.25,66.61
2024-04-10,Apparel,3,5,855.55,326.45
2024-04-10,Electronics,1,1,406.78,193.53
2024-04-10,Grocery,5,19,3862.0299999999997,1193.0900000000001
2024-04-10,Home,2,8,576.87,200.31
2024-04-10,Sports,5,16,7658.65,3780.3999999999996
2024-04-11,Apparel,3,12,2569.59,927.66
2024-04-11,Electronics,1,1,201.33,33.84
2024-04-11,Grocery,1,3,741.3,421.92
2024-04-11,Home,1,1,118.36,67.11
2024-04-11,Sports,5,21,9181.4,4069.39
2024-04-12,Apparel,6,21,9122.24,3833.99
2024-04-12,Electronics,4,13,4771.41,2140.48
2024-04-12,Grocery,1,4,222.38,45.78
2024-04-12,Sports,2,6,2520.88,855.49
2024-04-13,Apparel,1,3,304.77,72.54
2024-04-13,Electronics,1,2,161.34,24.42
2024-04-13,Grocery,1,5,115.7,62.7
2024-04-13,Home,2,8,2052.59,280.81
2024-04-13,Sports,2,3,1608.51,633.51
2024-04-14,Apparel,2,2,1057.33,444.63
2024-04-14,Electronics,1,5,403.35,61.05
2024-04-14,Grocery,2,6,1383.8400000000001,328.98
2024-04-14,Home,4,11,2368.98,1034.1399999999999
2024-04-14,Sports,2,5,2404.88,634.35
2024-04-15,Apparel,5,21,6228.0,2417.3199999999997
2024-04-15,Electronics,4,17,4352.43,1727.44
2024-04-15,Grocery,5,14,4781.2300000000005,2160.67
2024-04-15,Sports,3,9,3341.75,1027.97
2024-04-16,Electronics,3,4,1161.55,514.39
2024-04-16,Grocery,2,9,3543.82,1486.52
2024-04-16,Home,2,3,860.52,413.08
2024-04-16,Sports,3,9,3373.14,1735.03
2024-04-17,Apparel,1,4,134.64,55.16
2024-04-17,Electronics,7,19,7502.24,2865.59
2024-04-17,Home,1,2,675.28,256.82
2024-04-17,Sports,2,4,962.8000000000001,470.24
2024-04-18,Apparel,2,4,1620.52,609.12
2024-04-18,Electronics,1,4,1144.36,254.32
2024-04-18,Grocery,2,9,1689.23,879.9200000000001
2024-04-18,Home,2,5,2223.7000000000003,878.97
2024-04-18,Sports,2,6,3665.88,1568.7
2024-04-19,Apparel,5,15,3294.9,800.97
2024-04-19,Electronics,3,12,1011.76,442.52
2024-04-19,Grocery,2,3,369.2,93.72
2024-04-19,Home,5,13,2773.16,1097.6100000000001
2024-04-19,Sports,1,1,500.69,134.12
2024-04-20,Apparel,2,7,2283.99,586.87
2024-04-20,Electronics,4,8,2732.26,901.94
2024-04-20,Grocery,4,11,5717.84,2236.5
2024-04-20,Home,4,10,3171.1,766.63
2024-04-20,Sports,1,1,596.37,249.11
2024-04-21,Apparel,2,2,963.79,388.8
2024-04-21,Electronics,6,21,4729.57,2006.23
2024-04-21,Grocery,2,4,1072.62,420.2
2024-04-21,Home,2,9,1291.55,235.3
2024-04-21,Sports,2,8,394.12,121.85000000000001
2024-04-22,Apparel,3,8,3273.46,1279.0900000000001
2024-04-22,Grocery,2,6,1576.06,788.27
2024-04-22,Home,1,5,239.25,54.85
2024-04-22,Sports,4,13,6269.82,2609.52
2024-04-23,Apparel,2,6,2158.85,399.73
2024-04-23,Electronics,6,16,3683.41,1412.64
2024-04-23,Grocery,4,16,2478.0299999999997,793.1300000000001
2024-04-23,Home,4,11,3888.61,1675.92
2024-04-24,Apparel,3,13,5159.9,2161.2200000000003
2024-04-24,Electronics,6,23,10286.12,4646.44
2024-04-24,Grocery,5,16,5419.17,2531.29
2024-04-24,Home,2,6,740.0,209.82
2024-04-24,Sports,6,18,7547.4,3104.53
2024-04-25,Apparel,4,10,1320.83,500.52
2024-04-25,Electronics,2,5,2290.77,643.13
