product_id,category,brand,units_sold,net_revenue,gross_profit,order_count,product_name,unit_price
PRD0089,Sports,Apex,93,62452.1,26294.63,36,Apex Outdoor 89,690.46
PRD0003,Grocery,Forge,108,59750.87,30175.07,36,Forge Beverages 3,569.87
PRD0092,Home,Cascade,172,59358.3,12624.18,57,Cascade Furniture 92,353.85
PRD0099,Sports,Forge,154,58423.12,28168.28,48,Forge Footwear 99,388.71
PRD0062,Home,Pinnacle,165,58109.54,23586.59,53,Pinnacle Decor 62,355.41
PRD0096,Apparel,Nova,153,57871.18,12564.82,49,Nova Men 96,389.05
PRD0110,Electronics,Pinnacle,144,57478.01,26770.01,45,Pinnacle Headphones 110,406.78
PRD0011,Apparel,Forge,106,54255.24,20091.44,36,Forge Accessories 11,526.75
PRD0101,Apparel,Orbit,124,53870.11,7981.43,46,Orbit Women 101,437.08
PRD0081,Apparel,Apex,127,53333.409999999996,19635.23,40,Apex Women 81,429.07
PRD0107,Home,Forge,150,53229.82,6078.82,44,Forge Bedding 107,368.5
PRD0066,Apparel,Lumina,136,53101.88,16443.08,43,Lumina Kids 66,404.74
PRD0093,Grocery,Orbit,131,52606.840000000004,25945.72,49,Orbit Dairy 93,410.67
PRD0029,Sports,Orbit,149,51976.560000000005,27579.3,48,Orbit Outdoor 29,354.91
PRD0008,Grocery,Nova,113,50850.54,20499.87,40,Nova Produce 8,455.65
PRD0069,Sports,Orbit,96,49410.02,14219.3,41,Orbit Outdoor 69,527.04
PRD0074,Sports,Lumina,168,49337.4,14563.08,58,Lumina Team Sports 74,304.27
PRD0021,Apparel,Orbit,122,48958.439999999995,21835.4,40,Orbit Women 21,411.07
PRD0019,Sports,Forge,141,48621.54,21902.04,45,Forge Footwear 19,351.82
PRD0045,Electronics,Orbit,154,47483.76,11674.14,52,Orbit Phones 45,318.79
PRD0059,Sports,Forge,105,46941.549999999996,26225.05,39,Forge Footwear 59,458.19
PRD0118,Grocery,Pinnacle,150,46787.81,11000.81,46,Pinnacle Snacks 118,317.96
PRD0027,Home,Forge,94,45258.89,20307.53,34,Forge Bedding 27,490.08
PRD0104,Sports,Nova,117,45155.38,25404.61,41,Nova Fitness 104,398.02
PRD0024,Sports,Nova,125,44148.06,23574.31,41,Nova Fitness 24,364.86
PRD0057,Home,Apex,106,42913.68,22353.92,38,Apex Kitchen 57,412.83
PRD0007,Home,Harbor,160,42502.770000000004,11889.97,54,Harbor Bedding 7,274.3
PRD0071,Apparel,Harbor,130,41237.270000000004,21785.37,39,Harbor Accessories 71,327.28
PRD0060,Electronics,Cascade,104,40883.65,17010.45,42,Cascade Laptops 60,399.84
PRD0053,Grocery,Orbit,130,40773.8,10109.4,43,Orbit Dairy 53,321.56
PRD0005,Electronics,Orbit,151,38052.95,15487.51,52,Orbit Phones 5,259.57
PRD0049,Sports,Apex,117,37371.95,6877.07,35,Apex Outdoor 49,327.25
PRD0080,Electronics,Nova,141,37269.93,19258.59,43,Nova Laptops 80,270.17
PRD0012,Home,Cascade,161,36049.5,17252.75,50,Cascade Furniture 12,233.86
PRD0055,Electronics,Harbor,139,35839.76,16372.81,44,Harbor Tablets 55,264.5
PRD0094,Sports,Pinnacle,110,35265.21,9604.41,37,Pinnacle Team Sports 94,326.53
PRD0032,Home,Nova,142,35163.799999999996,8775.94,45,Nova Furniture 32,251.17
PRD0033,Grocery,Apex,128,34165.96,8384.2,46,Apex Dairy 33,269.98
PRD0113,Grocery,Apex,103,33900.16,16235.66,39,Apex Dairy 113,336.98
PRD0065,Electronics,Apex,122,33429.6,6283.38,39,Apex Phones 65,286.09
PRD0010,Electronics,Lumina,121,32828.08,17543.36,39,Lumina Headphones 10,276.68
PRD0088,Grocery,Nova,124,32262.24,16699.0,37,Nova Produce 88,266.3
PRD0050,Electronics,Lumina,160,31397.41,4599.01,50,Lumina Headphones 50,201.33
PRD0083,Grocery,Forge,129,31134.6,17401.26,46,Forge Beverages 83,247.1
PRD0098,Grocery,Lumina,128,30227.63,9716.91,45,Lumina Snacks 98,244.56
PRD0112,Home,Nova,107,28150.69,10367.29,33,Nova Furniture 112,268.87
PRD0035,Electronics,Forge,111,25337.9,8282.75,36,Forge Tablets 35,234.61
PRD0026,Apparel,Lumina,142,23932.13,7745.55,42,Lumina Kids 26,172.92
PRD0023,Grocery,Harbor,94,23063.96,6537.82,35,Harbor Beverages 23,249.34
PRD0120,Electronics,Nova,162,21280.52,11680.4,52,Nova Laptops 120,136.37
PRD0084,Sports,Cascade,167,21038.16,4687.1900000000005,49,Cascade Fitness 84,127.62
PRD0022,Home,Pinnacle,131,18729.11,2620.04,46,Pinnacle Decor 22,146.15
PRD0086,Apparel,Pinnacle,128,17344.11,7955.3099999999995,47,Pinnacle Kids 86,139.31
PRD0091,Apparel,Forge,141,16780.62,3611.22,49,Forge Accessories 91,122.8
PRD0006,Apparel,Pinnacle,167,16548.98,3621.51,49,Pinnacle Kids 6,101.59
PRD0001,Apparel,Apex,117,15737.93,6439.94,37,Apex Women 1,137.75
PRD0044,Sports,Cascade,125,15412.81,5095.31,43,Cascade Fitness 44,126.49
PRD0061,Apparel,Orbit,93,15285.630000000001,5217.45,34,Orbit Women 61,169.37
PRD0097,Home,Apex,131,15156.0,8442.25,46,Apex Kitchen 97,118.36
PRD0108,Grocery,Cascade,153,14860.77,7908.45,50,Cascade Produce 108,99.37
PRD0115,Electronics,Forge,100,13939.859999999999,3875.86,31,Forge Tablets 115,145.51
PRD0025,Electronics,Apex,121,13765.279999999999,2256.97,38,Apex Phones 25,116.31
PRD0042,Home,Lumina,101,13718.57,2573.2200000000003,31,Lumina Decor 42,140.2
PRD0030,Electronics,Pinnacle,167,13149.220000000001,1716.4,51,Pinnacle Headphones 30,80.67
PRD0031,Apparel,Harbor,169,12848.27,6453.31,53,Harbor Accessories 31,77.68
PRD0013,Grocery,Orbit,150,11788.47,3145.4700000000003,50,Orbit Dairy 13,80.66
PRD0018,Grocery,Lumina,114,10632.6,5208.48,40,Lumina Snacks 18,94.47
PRD0090,Electronics,Lumina,153,10444.22,1375.91,53,Lumina Headphones 90,69.19
PRD0058,Grocery,Lumina,170,9959.24,4021.14,54,Lumina Snacks 58,61.42
PRD0082,Home,Lumina,100,8036.46,4076.4599999999996,36,Lumina Decor 82,82.51
PRD0052,Home,Cascade,105,7842.42,1592.82,37,Cascade Furniture 52,76.14
PRD0117,Home,Orbit,138,7311.62,1253.42,48,Orbit Kitchen 117,54.14
PRD0103,Grocery,Harbor,123,7007.76,1577.31,41,Harbor Beverages 103,58.52
PRD0037,Home,Orbit,127,5938.17,1254.41,40,Orbit Kitchen 37,47.85
PRD0076,Apparel,Cascade,136,4483.51,1781.19,45,Cascade Men 76,33.66
PRD0070,Electronics,Pinnacle,135,4069.99,1789.84,41,Pinnacle Headphones 70,31.14
PRD0063,Grocery,Harbor,150,3355.28,1765.28,48,Harbor Beverages 63,23.14
PRD0056,Apparel,Nova,119,3033.95,1715.43,41,Nova Men 56,26.02
PRD0002,Home,Lumina,101,2598.58,636.15,40,Lumina Decor 2,26.09
PRD0014,Sports,Pinnacle,95,959.9399999999999,491.59,36,Pinnacle Team Sports 14,10.52
