transaction_date,store_id,store_name,region,store_type,transactions,units_sold,gross_revenue,net_revenue,discount_total,cogs,gross_profit,avg_order_value,gross_margin_pct
2024-01-02,STR015,Austin Mall #15,West,express,1,1,621.23,621.23,0.0,361.24,259.99,621.23,41.85
2024-01-02,STR017,Charlotte Mall #17,Southeast,flagship,1,1,54.14,54.14,0.0,43.9,10.24,54.14,18.91
2024-01-02,STR020,San Diego Mall #20,West,online,1,2,673.96,673.96,0.0,343.0,330.96,673.96,49.11
2024-01-02,STR021,Las Vegas Mall #21,Northeast,flagship,1,1,690.46,621.41,69.05,388.79,232.62,621.41,37.43
2024-01-02,STR022,Orlando Downtown #22,Southeast,outlet,1,1,526.75,526.75,0.0,322.3,204.45,526.75,38.81
2024-01-03,STR002,Boston Mall #2,Southeast,outlet,1,3,1983.99,1983.99,0.0,1042.08,941.91,1983.99,47.48
2024-01-03,STR004,Miami Downtown #4,Southwest,online,1,1,690.46,690.46,0.0,388.79,301.67,690.46,43.69
2024-01-03,STR005,Chicago Mall #5,West,flagship,2,7,1433.8899999999999,1390.24,43.65,1005.1600000000001,385.08,695.12,27.7
2024-01-03,STR006,Detroit Mall #6,Northeast,outlet,2,8,4749.09,4655.91,93.18,2989.9700000000003,1665.94,2327.96,35.78
2024-01-03,STR009,Phoenix Mall #9,Southwest,flagship,1,4,1716.28,1544.65,171.63,1061.36,483.29,1544.65,31.29
2024-01-03,STR010,Denver Downtown #10,West,outlet,3,11,2689.15,2512.01,177.14,1628.14,883.87,837.34,35.19
2024-01-03,STR014,San Francisco Mall #14,Southwest,outlet,1,3,409.11,409.11,0.0,177.78,231.33,409.11,56.54
2024-01-03,STR016,Nashville Downtown #16,Northeast,online,2,7,1492.21,1492.21,0.0,871.2,621.01,746.1,41.62
2024-01-03,STR017,Charlotte Mall #17,Southeast,flagship,1,4,322.68,306.55,16.13,273.84,32.71,306.55,10.67
2024-01-03,STR018,Minneapolis Mall #18,Midwest,outlet,1,5,1589.8,1589.8,0.0,1192.9,396.9,1589.8,24.97
2024-01-03,STR019,Philadelphia Downtown #19,Southwest,express,1,5,638.1,574.29,63.81,489.55,84.74,574.29,14.76
2024-01-03,STR020,San Diego Mall #20,West,online,1,5,638.1,638.1,0.0,489.55,148.55,638.1,23.28
2024-01-03,STR021,Las Vegas Mall #21,Northeast,flagship,1,3,1055.46,1055.46,0.0,568.5,486.96,1055.46,46.14
2024-01-03,STR023,Kansas City Mall #23,Midwest,express,2,6,2539.71,2047.9,491.81,1494.2199999999998,553.68,1023.95,27.04
2024-01-04,STR003,Atlanta Mall #3,Midwest,express,1,2,950.7,950.7,0.0,717.34,233.36,950.7,24.55
2024-01-04,STR004,Miami Downtown #4,Southwest,online,1,3,1194.06,1194.06,0.0,506.43,687.63,1194.06,57.59
2024-01-04,STR005,Chicago Mall #5,West,flagship,3,9,2092.9,1951.16,141.74,1606.3700000000001,344.78999999999996,650.39,17.67
2024-01-04,STR014,San Francisco Mall #14,Southwest,outlet,1,4,310.72,310.72,0.0,151.36,159.36,310.72,51.29
2024-01-04,STR015,Austin Mall #15,West,express,2,9,1228.04,1184.15,43.89,687.75,496.4,592.08,41.92
2024-01-04,STR020,San Diego Mall #20,West,online,1,4,1058.0,1058.0,0.0,560.2,497.8,1058.0,47.05
2024-01-04,STR021,Las Vegas Mall #21,Northeast,flagship,1,1,437.08,437.08,0.0,370.07,67.01,437.08,15.33
2024-01-04,STR022,Orlando Downtown #22,Southeast,outlet,1,3,2036.79,1731.27,305.52,899.85,831.42,1731.27,48.02
2024-01-04,STR023,Kansas City Mall #23,Midwest,express,1,1,507.8,431.63,76.17,374.55,57.08,431.63,13.22
2024-01-05,STR002,Boston Mall #2,Southeast,outlet,1,4,2878.08,2590.27,287.81,1371.72,1218.55,2590.27,47.04
2024-01-05,STR003,Atlanta Mall #3,Midwest,express,2,4,781.5,767.66,13.84,590.3,177.36,383.83,23.1
2024-01-05,STR006,Detroit Mall #6,Northeast,outlet,1,5,1774.55,1774.55,0.0,818.7,955.85,1774.55,53.86
2024-01-05,STR012,Seattle Mall #12,Southeast,online,2,7,1766.61,1736.15,30.46,1103.1299999999999,633.02,868.08,36.46
2024-01-05,STR014,San Francisco Mall #14,Southwest,outlet,1,1,10.52,10.52,0.0,4.93,5.59,10.52,53.14
2024-01-05,STR016,Nashville Downtown #16,Northeast,online,1,1,355.41,355.41,0.0,209.23,146.18,355.41,41.13
2024-01-05,STR019,Philadelphia Downtown #19,Southwest,express,2,4,1041.6399999999999,1001.84,39.8,524.4200000000001,477.42,500.92,47.65
2024-01-05,STR021,Las Vegas Mall #21,Northeast,flagship,2,3,1219.46,1219.46,0.0,668.8900000000001,550.57,609.73,45.15
2024-01-05,STR022,Orlando Downtown #22,Southeast,outlet,2,4,2513.47,2279.86,233.61,1192.53,1087.33,1139.93,47.69
2024-01-05,STR023,Kansas City Mall #23,Midwest,express,1,4,1967.24,1967.24,0.0,1149.28,817.96,1967.24,41.58
2024-01-06,STR003,Atlanta Mall #3,Midwest,express,4,14,4912.0,4872.25,39.75,2801.37,2070.88,1218.06,42.5
2024-01-06,STR005,Chicago Mall #5,West,flagship,3,10,3130.59,3117.55,13.04,1562.3400000000001,1555.21,1039.18,49.89
2024-01-06,STR006,Detroit Mall #6,Northeast,outlet,1,2,608.54,547.69,60.85,413.98,133.71,547.69,24.41
2024-01-06,STR007,Dallas Downtown #7,Southeast,express,1,2,198.74,198.74,0.0,90.88,107.86,198.74,54.27
2024-01-06,STR009,Phoenix Mall #9,Southwest,flagship,2,5,991.0,991.0,0.0,630.9100000000001,360.09000000000003,495.5,36.34
2024-01-06,STR016,Nashville Downtown #16,Northeast,online,2,9,5209.43,5209.43,0.0,2578.21,2631.2200000000003,2604.72,50.51
2024-01-06,STR017,Charlotte Mall #17,Southeast,flagship,1,2,1243.64,1243.64,0.0,627.98,615.66,1243.64,49.5
2024-01-06,STR019,Philadelphia Downtown #19,Southwest,express,2,7,2595.6499999999996,2553.8599999999997,41.79,1277.85,1276.01,1276.93,49.96
2024-01-06,STR020,San Diego Mall #20,West,online,1,5,2033.9,2033.9,0.0,1066.25,967.65,2033.9,47.58
2024-01-06,STR023,Kansas City Mall #23,Midwest,express,2,8,5812.32,5632.52,179.8,2544.76,3087.76,2816.26,54.82
2024-01-07,STR004,Miami Downtown #4,Southwest,online,1,1,122.8,122.8,0.0,93.4,29.4,122.8,23.94
2024-01-07,STR005,Chicago Mall #5,West,flagship,1,2,275.5,275.5,0.0,158.94,116.56,275.5,42.31
2024-01-07,STR006,Detroit Mall #6,Northeast,outlet,1,1,406.78,345.76,61.02,213.25,132.51,345.76,38.32
2024-01-07,STR008,Houston Mall #8,Midwest,online,2,5,2084.39,2013.4099999999999,70.98,919.38,1094.03,1006.7,54.34
2024-01-07,STR014,San Francisco Mall #14,Southwest,outlet,1,3,741.3,704.24,37.06,319.38,384.86,704.24,54.65
2024-01-07,STR015,Austin Mall #15,West,express,1,1,719.52,719.52,0.0,342.93,376.59,719.52,52.34
2024-01-07,STR016,Nashville Downtown #16,Northeast,online,1,5,1350.85,1350.85,0.0,638.7,712.15,1350.85,52.72
2024-01-07,STR019,Philadelphia Downtown #19,Southwest,express,1,3,298.11,283.2,14.91,136.32,146.88,283.2,51.86
2024-01-07,STR021,Las Vegas Mall #21,Northeast,flagship,1,2,673.96,606.56,67.4,343.0,263.56,606.56,43.45
2024-01-08,STR004,Miami Downtown #4,Southwest,online,1,4,1058.0,1058.0,0.0,560.2,497.8,1058.0,47.05
2024-01-08,STR007,Dallas Downtown #7,Southeast,express,1,4,1144.36,1144.36,0.0,890.04,254.32,1144.36,22.22
2024-01-08,STR008,Houston Mall #8,Midwest,online,1,1,61.42,61.42,0.0,34.93,26.49,61.42,43.13
2024-01-08,STR010,Denver Downtown #10,West,outlet,1,2,946.34,946.34,0.0,503.34,443.0,946.34,46.81
2024-01-08,STR011,Los Angeles Mall #11,Northeast,express,1,4,545.48,545.48,0.0,237.04,308.44,545.48,56.54
2024-01-08,STR012,Seattle Mall #12,Southeast,online,1,5,155.7,147.91,7.79,84.45,63.46,147.91,42.9
2024-01-08,STR013,Portland Downtown #13,Midwest,flagship,1,4,330.04,330.04,0.0,158.4,171.64,330.04,52.01
2024-01-08,STR017,Charlotte Mall #17,Southeast,flagship,1,4,938.44,938.44,0.0,614.6,323.84,938.44,34.51
2024-01-08,STR018,Minneapolis Mall #18,Midwest,outlet,2,9,2832.38,2832.38,0.0,1705.67,1126.71,1416.19,39.78
2024-01-08,STR019,Philadelphia Downtown #19,Southwest,express,1,1,412.83,412.83,0.0,193.96,218.87,412.83,53.02
2024-01-08,STR020,San Diego Mall #20,West,online,1,4,1106.72,1106.72,0.0,505.28,601.44,1106.72,54.34
2024-01-08,STR021,Las Vegas Mall #21,Northeast,flagship,1,1,264.5,264.5,0.0,140.05,124.45,264.5,47.05
2024-01-09,STR001,New York Downtown #1,Northeast,flagship,1,4,92.56,92.56,0.0,42.4,50.16,92.56,54.19
2024-01-09,STR004,Miami Downtown #4,Southwest,online,1,5,688.75,688.75,0.0,397.35,291.4,688.75,42.31
2024-01-09,STR006,Detroit Mall #6,Northeast,outlet,1,5,1824.3,1733.08,91.22,822.95,910.13,1733.08,52.52
2024-01-09,STR007,Dallas Downtown #7,Southeast,express,1,5,403.3,403.3,0.0,288.1,115.2,403.3,28.56
2024-01-09,STR008,Houston Mall #8,Midwest,online,2,10,5516.7,4820.88,695.8199999999999,3523.2,1297.6799999999998,2410.44,26.92
2024-01-09,STR011,Los Angeles Mall #11,Northeast,express,2,3,729.73,727.12,2.61,398.43,328.69,363.56,45.2
2024-01-09,STR012,Seattle Mall #12,Southeast,online,2,6,3004.99,2855.9,149.09,1746.8999999999999,1109.0,1427.95,38.83
2024-01-09,STR014,San Francisco Mall #14,Southwest,outlet,1,5,2885.4,2885.4,0.0,1906.25,979.15,2885.4,33.93
2024-01-09,STR017,Charlotte Mall #17,Southeast,flagship,1,2,729.72,583.78,145.94,329.18,254.6,583.78,43.61
2024-01-09,STR018,Minneapolis Mall #18,Midwest,outlet,2,6,3700.22,3556.3199999999997,143.9,1816.3600000000001,1739.96,1778.16,48.93
2024-01-09,STR021,Las Vegas Mall #21,Northeast,flagship,2,4,1220.08,1220.08,0.0,517.51,702.57,610.04,57.58
2024-01-09,STR022,Orlando Downtown #22,Southeast,outlet,1,2,653.06,653.06,0.0,466.56,186.5,653.06,28.56
2024-01-09,STR023,Kansas City Mall #23,Midwest,express,2,6,472.89000000000004,472.89000000000004,0.0,298.29,174.6,236.45,36.92
2024-01-10,STR001,New York Downtown #1,Northeast,flagship,1,1,621.23,621.23,0.0,361.24,259.99,621.23,41.85
2024-01-10,STR002,Boston Mall #2,Southeast,outlet,2,5,1227.8799999999999,1227.8799999999999,0.0,693.64,534.24,613.94,43.51
2024-01-10,STR010,Denver Downtown #10,West,outlet,2,8,1464.85,1464.85,0.0,1103.23,361.62,732.42,24.69
2024-01-10,STR011,Los Angeles Mall #11,Northeast,express,1,4,2002.2,2002.2,0.0,1294.72,707.48,2002.2,35.34
2024-01-10,STR012,Seattle Mall #12,Southeast,online,1,4,805.32,805.32,0.0,669.96,135.36,805.32,16.81
2024-01-10,STR013,Portland Downtown #13,Midwest,flagship,2,6,2659.04,2659.04,0.0,1714.82,944.22,1329.52,35.51
2024-01-10,STR014,San Francisco Mall #14,Southwest,outlet,2,10,3040.6000000000004,3040.6000000000004,0.0,1912.1499999999999,1128.45,1520.3,37.11
2024-01-10,STR018,Minneapolis Mall #18,Midwest,outlet,2,7,432.75,432.75,0.0,215.8,216.95,216.38,50.13
2024-01-10,STR020,San Diego Mall #20,West,online,2,5,1214.46,1067.1799999999998,147.28,639.11,428.07,533.59,40.11
2024-01-11,STR002,Boston Mall #2,Southeast,outlet,1,4,551.0,523.45,27.55,317.88,205.57,523.45,39.27
2024-01-11,STR003,Atlanta Mall #3,Midwest,express,1,4,2761.84,2761.84,0.0,1555.16,1206.68,2761.84,43.69
2024-01-11,STR006,Detroit Mall #6,Northeast,outlet,1,5,3597.6,3597.6,0.0,1714.65,1882.95,3597.6,52.34
2024-01-11,STR012,Seattle Mall #12,Southeast,online,1,1,675.27,675.27,0.0,333.41,341.86,675.27,50.63
2024-01-11,STR015,Austin Mall #15,West,express,1,5,507.95,507.95,0.0,387.05,120.9,507.95,23.8
2024-01-11,STR017,Charlotte Mall #17,Southeast,flagship,2,9,5277.75,5277.75,0.0,3101.73,2176.02,2638.88,41.23
2024-01-11,STR018,Minneapolis Mall #18,Midwest,outlet,2,4,1390.96,1390.96,0.0,1085.81,305.15,695.48,21.94
2024-01-12,STR004,Miami Downtown #4,Southwest,online,1,2,67.32,57.22,10.1,39.74,17.48,57.22,30.55
2024-01-12,STR005,Chicago Mall #5,West,flagship,1,1,127.62,127.62,0.0,97.91,29.71,127.62,23.28
2024-01-12,STR009,Phoenix Mall #9,Southwest,flagship,1,3,413.25,413.25,0.0,238.41,174.84,413.25,42.31
2024-01-12,STR012,Seattle Mall #12,Southeast,online,2,7,2989.4700000000003,2870.2,119.27,1891.51,978.6899999999999,1435.1,34.1
2024-01-12,STR014,San Francisco Mall #14,Southwest,outlet,3,13,3692.47,3692.47,0.0,2313.06,1379.4099999999999,1230.82,37.36
2024-01-12,STR015,Austin Mall #15,West,express,1,5,614.0,614.0,0.0,467.0,147.0,614.0,23.94
2024-01-12,STR016,Nashville Downtown #16,Northeast,online,1,4,582.04,582.04,0.0,402.56,179.48,582.04,30.84
2024-01-12,STR018,Minneapolis Mall #18,Midwest,outlet,1,5,4116.6,4116.6,0.0,1938.65,2177.95,4116.6,52.91
2024-01-12,STR020,San Diego Mall #20,West,online,1,2,1380.92,1380.92,0.0,777.58,603.34,1380.92,43.69
2024-01-12,STR023,Kansas City Mall #23,Midwest,express,1,4,2308.32,2308.32,0.0,1525.0,783.32,2308.32,33.93
2024-01-13,STR001,New York Downtown #1,Northeast,flagship,3,10,334.53000000000003,320.44,14.09,238.13,82.31,106.81,25.69
2024-01-13,STR002,Boston Mall #2,Southeast,outlet,1,4,3595.92,3595.92,0.0,1587.88,2008.04,3595.92,55.84
2024-01-13,STR003,Atlanta Mall #3,Midwest,express,2,5,957.96,957.96,0.0,467.21000000000004,490.75,478.98,51.23
2024-01-13,STR004,Miami Downtown #4,Southwest,online,3,10,5619.06,5321.62,297.44,3445.92,1875.6999999999998,1773.87,35.25
2024-01-13,STR005,Chicago Mall #5,West,flagship,2,9,3873.8,3873.8,0.0,2332.09,1541.71,1936.9,39.8
2024-01-13,STR006,Detroit Mall #6,Northeast,outlet,1,4,310.72,310.72,0.0,151.36,159.36,310.72,51.29
2024-01-13,STR007,Dallas Downtown #7,Southeast,express,1,1,304.27,304.27,0.0,206.99,97.28,304.27,31.97
2024-01-13,STR008,Houston Mall #8,Midwest,online,1,2,467.72,467.72,0.0,233.5,234.22,467.72,50.08
2024-01-13,STR010,Denver Downtown #10,West,outlet,1,2,338.74,321.8,16.94,216.52,105.28,321.8,32.72
2024-01-13,STR011,Los Angeles Mall #11,Northeast,express,1,2,1243.64,1243.64,0.0,627.98,615.66,1243.64,49.5
2024-01-13,STR014,San Francisco Mall #14,Southwest,outlet,1,3,1675.98,1675.98,0.0,966.42,709.56,1675.98,42.34
2024-01-13,STR016,Nashville Downtown #16,Northeast,online,3,8,2993.08,2933.8399999999997,59.239999999999995,1940.6799999999998,993.16,977.95,33.85
2024-01-13,STR017,Charlotte Mall #17,Southeast,flagship,1,4,2107.0,2107.0,0.0,1289.2,817.8,2107.0,38.81
2024-01-13,STR018,Minneapolis Mall #18,Midwest,outlet,2,4,1193.17,1193.17,0.0,899.44,293.73,596.58,24.62
2024-01-13,STR022,Orlando Downtown #22,Southeast,outlet,1,3,798.9,758.95,39.95,376.53,382.42,758.95,50.39
2024-01-14,STR004,Miami Downtown #4,Southwest,online,2,2,469.22,445.76,23.46,307.3,138.45999999999998,222.88,31.06
2024-01-14,STR006,Detroit Mall #6,Northeast,outlet,1,1,507.8,507.8,0.0,374.55,133.25,507.8,26.24
2024-01-14,STR007,Dallas Downtown #7,Southeast,express,2,2,1244.44,1244.44,0.0,605.3800000000001,639.06,622.22,51.35
2024-01-14,STR009,Phoenix Mall #9,Southwest,flagship,1,2,1139.74,1139.74,0.0,547.7,592.04,1139.74,51.95
2024-01-14,STR010,Denver Downtown #10,West,outlet,1,1,354.91,301.67,53.24,163.74,137.93,301.67,45.72
2024-01-14,STR012,Seattle Mall #12,Southeast,online,2,7,1713.6100000000001,1691.69,21.92,1299.03,392.66,845.84,23.21
2024-01-14,STR016,Nashville Downtown #16,Northeast,online,1,4,1271.84,1208.25,63.59,954.32,253.93,1208.25,21.02
2024-01-14,STR018,Minneapolis Mall #18,Midwest,outlet,1,5,380.7,380.7,0.0,297.6,83.1,380.7,21.83
2024-01-14,STR020,San Diego Mall #20,West,online,1,4,2385.48,2385.48,0.0,1389.04,996.44,2385.48,41.77
2024-01-14,STR021,Las Vegas Mall #21,Northeast,flagship,1,3,2071.38,1967.81,103.57,1166.37,801.44,1967.81,40.73
2024-01-14,STR023,Kansas City Mall #23,Midwest,express,2,6,2229.05,2160.08,68.97,1677.6799999999998,482.4,1080.04,22.33
2024-01-15,STR001,New York Downtown #1,Northeast,flagship,1,4,276.76,276.76,0.0,237.08,39.68,276.76,14.34
2024-01-15,STR002,Boston Mall #2,Southeast,outlet,2,5,3100.92,3100.92,0.0,1563.19,1537.73,1550.46,49.59
2024-01-15,STR007,Dallas Downtown #7,Southeast,express,1,2,637.58,637.58,0.0,465.06,172.52,637.58,27.06
2024-01-15,STR009,Phoenix Mall #9,Southwest,flagship,2,10,2871.6000000000004,2850.9700000000003,20.63,1634.6,1216.3700000000001,1425.48,42.67
2024-01-15,STR010,Denver Downtown #10,West,outlet,1,5,864.6,864.6,0.0,569.95,294.65,864.6,34.08
2024-01-15,STR012,Seattle Mall #12,Southeast,online,1,3,283.41,283.41,0.0,142.74,140.67,283.41,49.63
2024-01-15,STR014,San Francisco Mall #14,Southwest,outlet,1,5,632.45,600.83,31.62,412.7,188.13,600.83,31.31
2024-01-15,STR015,Austin Mall #15,West,express,1,3,1624.83,1624.83,0.0,799.83,825.0,1624.83,50.77
2024-01-15,STR016,Nashville Downtown #16,Northeast,online,1,3,409.11,409.11,0.0,177.78,231.33,409.11,56.54
2024-01-15,STR017,Charlotte Mall #17,Southeast,flagship,1,5,1006.65,1006.65,0.0,837.45,169.2,1006.65,16.81
2024-01-15,STR019,Philadelphia Downtown #19,Southwest,express,2,5,3405.12,3405.12,0.0,1738.29,1666.83,1702.56,48.95
2024-01-15,STR022,Orlando Downtown #22,Southeast,outlet,1,3,78.06,74.16,3.9,33.24,40.92,74.16,55.18
2024-01-15,STR023,Kansas City Mall #23,Midwest,express,2,6,3538.75,3538.75,0.0,1716.66,1822.0900000000001,1769.38,51.49
2024-01-16,STR002,Boston Mall #2,Southeast,outlet,2,8,2798.78,2798.78,0.0,1755.7800000000002,1043.0,1399.39,37.27
2024-01-16,STR005,Chicago Mall #5,West,flagship,1,4,805.32,805.32,0.0,669.96,135.36,805.32,16.81
2024-01-16,STR006,Detroit Mall #6,Northeast,outlet,2,8,4311.45,4167.18,144.27,2982.26,1184.92,2083.59,28.43
2024-01-16,STR007,Dallas Downtown #7,Southeast,express,1,1,544.43,544.43,0.0,264.45,279.98,544.43,51.43
2024-01-16,STR008,Houston Mall #8,Midwest,online,1,2,813.56,813.56,0.0,426.5,387.06,813.56,47.58
2024-01-16,STR012,Seattle Mall #12,Southeast,online,2,7,1705.0500000000002,1705.0500000000002,0.0,979.66,725.39,852.53,42.54
2024-01-16,STR015,Austin Mall #15,West,express,2,2,955.5,873.8399999999999,81.66,486.77,387.07,436.92,44.3
2024-01-16,STR017,Charlotte Mall #17,Southeast,flagship,1,2,338.74,338.74,0.0,216.52,122.22,338.74,36.08
2024-01-17,STR005,Chicago Mall #5,West,flagship,2,8,3252.88,3252.88,0.0,2311.3900000000003,941.49,1626.44,28.94
2024-01-17,STR006,Detroit Mall #6,Northeast,outlet,2,4,1834.08,1586.38,247.7,888.35,698.03,793.19,44.0
2024-01-17,STR007,Dallas Downtown #7,Southeast,express,1,2,548.6,493.74,54.86,382.66,111.08,493.74,22.5
2024-01-17,STR009,Phoenix Mall #9,Southwest,flagship,1,5,1371.5,1302.92,68.58,956.65,346.27,1302.92,26.58
2024-01-17,STR019,Philadelphia Downtown #19,Southwest,express,1,5,1322.5,1322.5,0.0,700.25,622.25,1322.5,47.05
2024-01-17,STR020,San Diego Mall #20,West,online,1,3,2158.56,1942.7,215.86,1028.79,913.91,1942.7,47.04
2024-01-17,STR021,Las Vegas Mall #21,Northeast,flagship,1,4,2177.72,2177.72,0.0,1057.8,1119.92,2177.72,51.43
2024-01-17,STR022,Orlando Downtown #22,Southeast,outlet,1,5,3597.6,3597.6,0.0,1714.65,1882.95,3597.6,52.34
2024-01-17,STR023,Kansas City Mall #23,Midwest,express,1,5,1774.55,1774.55,0.0,818.7,955.85,1774.55,53.86
2024-01-18,STR001,New York Downtown #1,Northeast,flagship,1,5,1824.3,1550.66,273.64,822.95,727.71,1550.66,46.93
2024-01-18,STR003,Atlanta Mall #3,Midwest,express,2,2,420.58,420.58,0.0,302.1,118.48,210.29,28.17
2024-01-18,STR006,Detroit Mall #6,Northeast,outlet,2,8,3564.55,3454.0,110.55,2379.62,1074.38,1727.0,31.11
2024-01-18,STR010,Denver Downtown #10,West,outlet,1,5,1169.3,1169.3,0.0,583.75,585.55,1169.3,50.08
2024-01-18,STR014,San Francisco Mall #14,Southwest,outlet,1,5,2185.4,2185.4,0.0,1850.35,335.05,2185.4,15.33
2024-01-18,STR016,Nashville Downtown #16,Northeast,online,1,4,1309.0,1309.0,0.0,1042.56,266.44,1309.0,20.35
2024-01-18,STR019,Philadelphia Downtown #19,Southwest,express,1,3,806.61,766.28,40.33,498.6,267.68,766.28,34.93
2024-01-18,STR021,Las Vegas Mall #21,Northeast,flagship,1,1,388.71,388.71,0.0,196.46,192.25,388.71,49.46
2024-01-18,STR022,Orlando Downtown #22,Southeast,outlet,1,4,557.24,557.24,0.0,293.4,263.84,557.24,47.35
2024-01-19,STR003,Atlanta Mall #3,Midwest,express,1,1,569.87,569.87,0.0,273.85,296.02,569.87,51.95
2024-01-19,STR006,Detroit Mall #6,Northeast,outlet,2,7,2324.45,2324.45,0.0,1589.2,735.25,1162.22,31.63
2024-01-19,STR007,Dallas Downtown #7,Southeast,express,1,1,137.75,137.75,0.0,79.47,58.28,137.75,42.31
2024-01-19,STR009,Phoenix Mall #9,Southwest,flagship,1,4,545.48,545.48,0.0,237.04,308.44,545.48,56.54
2024-01-19,STR012,Seattle Mall #12,Southeast,online,1,3,162.42,129.94,32.48,131.7,-1.76,129.94,-1.35
2024-01-19,STR013,Portland Downtown #13,Midwest,flagship,2,5,2504.1800000000003,2409.1099999999997,95.07,1821.75,587.36,1204.55,24.38
2024-01-19,STR014,San Francisco Mall #14,Southwest,outlet,1,1,82.51,82.51,0.0,39.6,42.91,82.51,52.01
2024-01-19,STR015,Austin Mall #15,West,express,1,4,2411.12,2411.12,0.0,1548.28,862.84,2411.12,35.79
2024-01-19,STR017,Charlotte Mall #17,Southeast,flagship,1,4,1618.96,1618.96,0.0,1078.2,540.76,1618.96,33.4
2024-01-19,STR021,Las Vegas Mall #21,Northeast,flagship,1,2,809.48,809.48,0.0,539.1,270.38,809.48,33.4
2024-01-19,STR022,Orlando Downtown #22,Southeast,outlet,2,5,868.59,868.59,0.0,568.1,300.49,434.3,34.6
2024-01-20,STR001,New York Downtown #1,Northeast,flagship,1,3,1709.61,1709.61,0.0,821.55,888.06,1709.61,51.95
2024-01-20,STR004,Miami Downtown #4,Southwest,online,1,4,1954.2,1954.2,0.0,1400.32,553.88,1954.2,28.34
2024-01-20,STR005,Chicago Mall #5,West,flagship,1,3,409.11,388.65,20.46,177.78,210.87,388.65,54.26
2024-01-20,STR009,Phoenix Mall #9,Southwest,flagship,1,5,2539.0,2539.0,0.0,1872.75,666.25,2539.0,26.24
2024-01-20,STR010,Denver Downtown #10,West,outlet,1,1,326.53,310.2,16.33,233.28,76.92,310.2,24.8
2024-01-20,STR011,Los Angeles Mall #11,Northeast,express,1,3,1462.05,1462.05,0.0,865.05,597.0,1462.05,40.83
2024-01-20,STR012,Seattle Mall #12,Southeast,online,1,4,505.96,505.96,0.0,330.16,175.8,505.96,34.75
2024-01-20,STR013,Portland Downtown #13,Midwest,flagship,1,5,846.85,719.82,127.03,541.3,178.52,719.82,24.8
2024-01-20,STR015,Austin Mall #15,West,express,1,3,778.71,778.71,0.0,448.32,330.39,778.71,42.43
2024-01-20,STR016,Nashville Downtown #16,Northeast,online,1,1,10.52,8.94,1.58,4.93,4.01,8.94,44.85
2024-01-20,STR018,Minneapolis Mall #18,Midwest,outlet,2,9,4268.99,3984.05,284.94,2024.21,1959.8400000000001,1992.02,49.19
2024-01-20,STR021,Las Vegas Mall #21,Northeast,flagship,1,3,1238.49,1238.49,0.0,581.88,656.61,1238.49,53.02
2024-01-20,STR022,Orlando Downtown #22,Southeast,outlet,1,3,518.76,518.76,0.0,341.97,176.79,518.76,34.08
2024-01-20,STR023,Kansas City Mall #23,Midwest,express,2,7,2636.2,2636.2,0.0,1722.28,913.9200000000001,1318.1,34.67
2024-01-21,STR001,New York Downtown #1,Northeast,flagship,1,1,137.75,137.75,0.0,79.47,58.28,137.75,42.31
