ticket_id,opened_at,resolved_at,sla_due_at,opened_date,status,priority,reason,channel,store_id,store_name,region,customer_id,csat,resolve_hours,age_hours,is_open,sla_breach,sla_status
TKT000016,2024-07-09 09:50:00,2024-07-11 19:53:54,2024-07-12 09:50:00,2024-07-09,resolved,medium,Pricing dispute,chat,STR009,Phoenix Mall #9,Southwest,CUS00021,3.0,58.07,58.06,0,False,within_sla
TKT000017,2024-04-07 11:02:00,2024-04-07 13:24:34,2024-04-08 11:02:00,2024-04-07,resolved,high,Late delivery,email,STR018,Minneapolis Mall #18,Midwest,CUS00137,3.0,2.38,2.38,0,False,within_sla
TKT000018,2024-05-15 11:31:00,,2024-05-18 11:31:00,2024-05-15,escalated,medium,Late delivery,social,STR003,Atlanta Mall #3,Midwest,CUS00086,,,5528.73,1,True,pending_beyond_sla
TKT000019,2024-12-25 17:49:00,2024-12-28 05:04:19,2025-01-01 17:49:00,2024-12-25,resolved,low,Refund request,email,STR007,Dallas Downtown #7,Southeast,CUS00226,5.0,59.26,59.26,0,False,within_sla
TKT000020,2024-03-04 07:13:00,2024-03-07 09:26:14,2024-03-11 07:13:00,2024-03-04,resolved,low,Wrong item,in_store,STR019,Philadelphia Downtown #19,Southwest,CUS00202,5.0,74.22,74.22,0,False,within_sla
TKT000021,2024-06-11 11:59:00,2024-06-11 18:51:41,2024-06-14 11:59:00,2024-06-11,resolved,medium,Pricing dispute,phone,STR019,Philadelphia Downtown #19,Southwest,CUS00240,4.0,6.88,6.88,0,False,within_sla
TKT000022,2024-03-27 14:13:00,2024-03-27 16:56:27,2024-03-28 14:13:00,2024-03-27,resolved,high,Late delivery,in_store,STR012,Seattle Mall #12,Southeast,CUS00067,3.0,2.72,2.72,0,False,within_sla
TKT000023,2024-07-29 11:31:00,2024-08-05 23:35:10,2024-08-05 11:31:00,2024-07-29,resolved,low,Staff conduct,chat,STR005,Chicago Mall #5,West,CUS00310,3.0,180.07,180.07,0,True,beyond_sla
TKT000024,2024-09-09 07:30:00,,2024-09-10 07:30:00,2024-09-09,escalated,high,Refund request,in_store,STR021,Las Vegas Mall #21,Northeast,CUS00327,,,2724.75,1,True,pending_beyond_sla
TKT000025,2024-02-12 19:38:00,2024-02-12 22:50:00,2024-02-12 23:38:00,2024-02-12,resolved,critical,Late delivery,chat,STR012,Seattle Mall #12,Southeast,CUS00027,5.0,3.2,3.2,0,False,within_sla
TKT000026,2024-10-09 20:02:00,2024-10-09 20:45:36,2024-10-10 00:02:00,2024-10-09,resolved,critical,Wrong item,email,STR013,Portland Downtown #13,Midwest,CUS00129,4.0,0.73,0.73,0,False,within_sla
TKT000027,2024-01-24 16:38:00,2024-02-01 08:55:07,2024-01-27 16:38:00,2024-01-24,resolved,medium,Store experience,in_store,STR021,Las Vegas Mall #21,Northeast,CUS00243,2.0,184.29,184.29,0,True,beyond_sla
TKT000028,2024-05-28 18:09:00,2024-05-31 09:45:00,2024-05-31 18:09:00,2024-05-28,resolved,medium,Pricing dispute,phone,STR021,Las Vegas Mall #21,Northeast,CUS00030,5.0,63.6,63.6,0,False,within_sla
TKT000029,2024-04-12 07:45:00,2024-04-12 11:28:46,2024-04-13 07:45:00,2024-04-12,resolved,high,Late delivery,in_store,STR015,Austin Mall #15,West,CUS00397,4.0,3.73,3.73,0,False,within_sla
TKT000030,2024-06-26 15:06:00,2024-06-27 01:46:07,2024-06-29 15:06:00,2024-06-26,resolved,medium,Online order issue,email,STR017,Charlotte Mall #17,Southeast,CUS00058,5.0,10.67,10.67,0,False,within_sla
TKT000031,2024-05-25 09:43:00,2024-05-26 09:37:06,2024-06-01 09:43:00,2024-05-25,resolved,low,Online order issue,in_store,STR014,San Francisco Mall #14,Southwest,CUS00429,5.0,23.9,23.9,0,False,within_sla
TKT000032,2024-06-29 09:15:00,2024-06-30 11:13:21,2024-07-02 09:15:00,2024-06-29,resolved,medium,Refund request,in_store,STR006,Detroit Mall #6,Northeast,CUS00018,5.0,25.97,25.97,0,False,within_sla
TKT000033,2024-08-20 08:54:00,,2024-08-23 08:54:00,2024-08-20,pending,medium,Product defect,email,STR016,Nashville Downtown #16,Northeast,CUS00355,,,3203.35,1,True,pending_beyond_sla
TKT000034,2024-07-24 10:41:00,2024-07-24 19:05:28,2024-07-31 10:41:00,2024-07-24,resolved,low,Online order issue,in_store,STR006,Detroit Mall #6,Northeast,CUS00441,4.0,8.41,8.41,0,False,within_sla
TKT000035,2024-06-22 11:24:00,2024-06-28 20:44:02,2024-06-25 11:24:00,2024-06-22,resolved,medium,Refund request,chat,STR020,San Diego Mall #20,West,CUS00079,1.0,153.33,153.33,0,True,beyond_sla
TKT000036,2024-05-25 08:38:00,2024-06-04 06:35:09,2024-06-01 08:38:00,2024-05-25,resolved,low,Pricing dispute,chat,STR002,Boston Mall #2,Southeast,CUS00469,3.0,237.95,237.95,0,True,beyond_sla
TKT000037,2024-06-19 14:48:00,2024-06-21 20:44:02,2024-06-22 14:48:00,2024-06-19,resolved,medium,Wrong item,email,STR007,Dallas Downtown #7,Southeast,CUS00240,5.0,53.93,53.93,0,False,within_sla
TKT000038,2024-06-02 10:22:00,2024-06-04 18:25:10,2024-06-05 10:22:00,2024-06-02,resolved,medium,Pricing dispute,chat,STR013,Portland Downtown #13,Midwest,CUS00356,5.0,56.05,56.05,0,False,within_sla
TKT000039,2024-08-26 20:00:00,,2024-09-02 20:00:00,2024-08-26,pending,low,Product defect,chat,STR005,Chicago Mall #5,West,CUS00132,,,3048.25,1,True,pending_beyond_sla
TKT000040,2024-04-30 15:33:00,2024-04-30 18:00:43,2024-05-03 15:33:00,2024-04-30,resolved,medium,Wrong item,phone,STR007,Dallas Downtown #7,Southeast,CUS00056,4.0,2.46,2.46,0,False,within_sla
TKT000041,2024-11-18 07:42:00,2024-12-01 19:05:44,2024-11-25 07:42:00,2024-11-18,resolved,low,Refund request,phone,STR017,Charlotte Mall #17,Southeast,CUS00034,3.0,323.4,323.4,0,True,beyond_sla
TKT000042,2024-10-25 12:45:00,2024-10-27 03:45:48,2024-10-28 12:45:00,2024-10-25,resolved,medium,Store experience,social,STR013,Portland Downtown #13,Midwest,CUS00167,3.0,39.01,39.01,0,False,within_sla
TKT000043,2024-03-28 19:55:00,2024-04-03 04:24:35,2024-04-04 19:55:00,2024-03-28,resolved,low,Store experience,email,STR020,San Diego Mall #20,West,CUS00328,3.0,128.49,128.49,0,False,within_sla
TKT000044,2024-08-28 08:02:00,2024-09-01 01:14:52,2024-09-04 08:02:00,2024-08-28,resolved,low,Pricing dispute,in_store,STR007,Dallas Downtown #7,Southeast,CUS00273,4.0,89.21,89.21,0,False,within_sla
TKT000045,2024-09-13 12:07:00,2024-09-23 09:09:35,2024-09-20 12:07:00,2024-09-13,closed_unresolved,low,Staff conduct,phone,STR023,Kansas City Mall #23,Midwest,CUS00044,1.0,237.04,237.04,0,True,beyond_sla
TKT000046,2024-02-03 09:19:00,2024-02-03 12:27:08,2024-02-04 09:19:00,2024-02-03,resolved,high,Refund request,chat,STR018,Minneapolis Mall #18,Midwest,CUS00116,4.0,3.14,3.14,0,False,within_sla
TKT000047,2024-06-21 08:33:00,2024-06-21 09:56:30,2024-06-24 08:33:00,2024-06-21,resolved,medium,Online order issue,in_store,STR009,Phoenix Mall #9,Southwest,CUS00234,3.0,1.39,1.39,0,False,within_sla
TKT000048,2024-08-29 20:09:00,2024-08-30 03:03:49,2024-08-30 20:09:00,2024-08-29,resolved,high,Refund request,chat,STR002,Boston Mall #2,Southeast,CUS00119,5.0,6.91,6.91,0,False,within_sla
TKT000049,2024-09-01 14:15:00,2024-09-03 17:22:31,2024-09-02 14:15:00,2024-09-01,resolved,high,Refund request,social,STR005,Chicago Mall #5,West,CUS00300,2.0,51.13,51.13,0,True,beyond_sla
TKT000050,2024-02-22 11:15:00,2024-02-22 13:23:49,2024-02-22 15:15:00,2024-02-22,resolved,critical,Staff conduct,email,STR013,Portland Downtown #13,Midwest,CUS00015,3.0,2.15,2.15,0,False,within_sla
TKT000051,2024-01-26 11:51:00,2024-01-28 22:36:04,2024-01-27 11:51:00,2024-01-26,resolved,high,Store experience,chat,STR010,Denver Downtown #10,West,CUS00011,1.0,58.75,58.75,0,True,beyond_sla
TKT000052,2024-04-18 12:39:00,2024-04-19 14:48:57,2024-04-21 12:39:00,2024-04-18,resolved,medium,Pricing dispute,in_store,STR003,Atlanta Mall #3,Midwest,CUS00128,5.0,26.17,26.17,0,False,within_sla
TKT000053,2024-01-25 16:35:00,2024-02-04 15:15:02,2024-02-01 16:35:00,2024-01-25,resolved,low,Store experience,chat,STR013,Portland Downtown #13,Midwest,CUS00279,2.0,238.67,238.67,0,True,beyond_sla
TKT000054,2024-12-21 09:18:00,2024-12-22 03:01:44,2024-12-22 09:18:00,2024-12-21,resolved,high,Online order issue,email,STR019,Philadelphia Downtown #19,Southwest,CUS00304,5.0,17.73,17.73,0,False,within_sla
TKT000055,2024-07-13 09:56:00,2024-07-18 01:38:51,2024-07-20 09:56:00,2024-07-13,resolved,low,Store experience,phone,STR003,Atlanta Mall #3,Midwest,CUS00221,5.0,111.71,111.71,0,False,within_sla
TKT000056,2024-11-26 18:03:00,2024-11-28 05:34:26,2024-12-03 18:03:00,2024-11-26,resolved,low,Online order issue,chat,STR015,Austin Mall #15,West,CUS00407,5.0,35.52,35.52,0,False,within_sla
TKT000057,2024-12-09 09:39:00,2024-12-18 18:51:44,2024-12-16 09:39:00,2024-12-09,resolved,low,Late delivery,chat,STR006,Detroit Mall #6,Northeast,CUS00486,1.0,225.21,225.21,0,True,beyond_sla
TKT000058,2024-01-26 19:03:00,2024-01-31 03:11:16,2024-02-02 19:03:00,2024-01-26,resolved,low,Staff conduct,social,STR023,Kansas City Mall #23,Midwest,CUS00341,4.0,104.14,104.14,0,False,within_sla
TKT000059,2024-03-08 13:52:00,2024-03-10 11:34:32,2024-03-09 13:52:00,2024-03-08,resolved,high,Staff conduct,phone,STR016,Nashville Downtown #16,Northeast,CUS00404,2.0,45.71,45.71,0,True,beyond_sla
TKT000060,2024-04-19 18:21:00,2024-04-22 12:50:16,2024-04-22 18:21:00,2024-04-19,resolved,medium,Product defect,in_store,STR004,Miami Downtown #4,Southwest,CUS00333,3.0,66.49,66.49,0,False,within_sla
TKT000061,2024-02-29 14:29:00,,2024-03-01 14:29:00,2024-02-29,escalated,high,Online order issue,chat,STR012,Seattle Mall #12,Southeast,CUS00090,,,7349.77,1,True,pending_beyond_sla
TKT000062,2024-12-06 12:26:00,,2024-12-09 12:26:00,2024-12-06,pending,medium,Wrong item,phone,STR019,Philadelphia Downtown #19,Southwest,CUS00020,,,607.82,1,True,pending_beyond_sla
TKT000063,2024-12-11 15:31:00,2024-12-11 18:45:58,2024-12-11 19:31:00,2024-12-11,resolved,critical,Late delivery,in_store,STR014,San Francisco Mall #14,Southwest,CUS00423,4.0,3.25,3.25,0,False,within_sla
TKT000064,2024-04-06 16:45:00,,2024-04-07 16:45:00,2024-04-06,pending,high,Pricing dispute,chat,STR018,Minneapolis Mall #18,Midwest,CUS00270,,,6459.5,1,True,pending_beyond_sla
TKT000065,2024-08-23 11:19:00,2024-08-25 16:02:39,2024-08-26 11:19:00,2024-08-23,resolved,medium,Refund request,email,STR008,Houston Mall #8,Midwest,CUS00075,5.0,52.73,52.73,0,False,within_sla
TKT000066,2024-12-16 19:53:00,2024-12-16 20:57:25,2024-12-16 23:53:00,2024-12-16,resolved,critical,Online order issue,phone,STR023,Kansas City Mall #23,Midwest,CUS00371,5.0,1.07,1.07,0,False,within_sla
TKT000067,2024-11-09 14:33:00,,2024-11-12 14:33:00,2024-11-09,pending,medium,Online order issue,chat,STR009,Phoenix Mall #9,Southwest,CUS00478,,,1253.7,1,True,pending_beyond_sla
TKT000068,2024-09-04 14:45:00,2024-09-05 07:05:21,2024-09-07 14:45:00,2024-09-04,resolved,medium,Wrong item,chat,STR014,San Francisco Mall #14,Southwest,CUS00172,3.0,16.34,16.34,0,False,within_sla
TKT000069,2024-10-01 12:47:00,2024-10-01 22:55:34,2024-10-04 12:47:00,2024-10-01,resolved,medium,Late delivery,phone,STR011,Los Angeles Mall #11,Northeast,CUS00124,4.0,10.14,10.14,0,False,within_sla
TKT000070,2024-01-11 13:36:00,2024-01-11 18:46:48,2024-01-12 13:36:00,2024-01-11,resolved,high,Online order issue,email,STR016,Nashville Downtown #16,Northeast,CUS00287,3.0,5.18,5.18,0,False,within_sla
TKT000071,2024-12-22 16:24:00,2024-12-24 19:40:33,2024-12-25 16:24:00,2024-12-22,resolved,medium,Product defect,in_store,STR021,Las Vegas Mall #21,Northeast,CUS00403,4.0,51.28,51.28,0,False,within_sla
TKT000072,2024-06-25 11:19:00,2024-06-26 15:21:46,2024-06-28 11:19:00,2024-06-25,resolved,medium,Store experience,email,STR004,Miami Downtown #4,Southwest,CUS00308,5.0,28.05,28.05,0,False,within_sla
TKT000073,2024-07-26 17:45:00,,2024-07-29 17:45:00,2024-07-26,pending,medium,Pricing dispute,chat,STR007,Dallas Downtown #7,Southeast,CUS00236,,,3794.5,1,True,pending_beyond_sla
TKT000074,2024-09-08 16:10:00,2024-09-09 03:08:43,2024-09-09 16:10:00,2024-09-08,resolved,high,Pricing dispute,chat,STR019,Philadelphia Downtown #19,Southwest,CUS00061,5.0,10.98,10.98,0,False,within_sla
TKT000075,2024-03-30 19:10:00,2024-04-01 23:52:44,2024-04-02 19:10:00,2024-03-30,resolved,medium,Wrong item,social,STR016,Nashville Downtown #16,Northeast,CUS00360,4.0,52.71,52.71,0,False,within_sla
TKT000076,2024-04-10 11:47:00,2024-04-11 03:58:58,2024-04-11 11:47:00,2024-04-10,resolved,high,Product defect,email,STR019,Philadelphia Downtown #19,Southwest,CUS00281,4.0,16.2,16.2,0,False,within_sla
TKT000077,2024-05-31 14:25:00,,2024-06-03 14:25:00,2024-05-31,escalated,medium,Late delivery,chat,STR002,Boston Mall #2,Southeast,CUS00027,,,5141.83,1,True,pending_beyond_sla
TKT000078,2024-06-21 19:52:00,,2024-06-28 19:52:00,2024-06-21,escalated,low,Pricing dispute,in_store,STR007,Dallas Downtown #7,Southeast,CUS00231,,,4632.38,1,True,pending_beyond_sla
TKT000079,2024-10-28 09:25:00,2024-10-28 15:13:59,2024-10-29 09:25:00,2024-10-28,resolved,high,Online order issue,in_store,STR015,Austin Mall #15,West,CUS00442,5.0,5.82,5.82,0,False,within_sla
TKT000080,2024-12-23 16:06:00,2024-12-26 10:38:14,2024-12-26 16:06:00,2024-12-23,resolved,medium,Staff conduct,phone,STR003,Atlanta Mall #3,Midwest,CUS00213,4.0,66.54,66.54,0,False,within_sla
TKT000081,2024-08-25 18:19:00,2024-08-27 14:51:54,2024-09-01 18:19:00,2024-08-25,resolved,low,Product defect,in_store,STR021,Las Vegas Mall #21,Northeast,CUS00431,5.0,44.55,44.55,0,False,within_sla
TKT000082,2024-05-13 18:16:00,2024-05-15 12:19:05,2024-05-20 18:16:00,2024-05-13,resolved,low,Wrong item,in_store,STR013,Portland Downtown #13,Midwest,CUS00454,5.0,42.05,42.05,0,False,within_sla
TKT000083,2024-04-13 10:40:00,,2024-04-20 10:40:00,2024-04-13,pending,low,Wrong item,in_store,STR012,Seattle Mall #12,Southeast,CUS00261,,,6297.58,1,True,pending_beyond_sla
TKT000084,2024-05-03 20:20:00,2024-05-04 02:42:01,2024-05-06 20:20:00,2024-05-03,resolved,medium,Pricing dispute,chat,STR012,Seattle Mall #12,Southeast,CUS00497,4.0,6.37,6.37,0,False,within_sla
TKT000085,2024-11-29 09:38:00,2024-12-01 16:02:01,2024-12-02 09:38:00,2024-11-29,resolved,medium,Wrong item,email,STR008,Houston Mall #8,Midwest,CUS00303,5.0,54.4,54.4,0,False,within_sla
TKT000086,2024-10-09 14:34:00,2024-10-11 18:27:38,2024-10-16 14:34:00,2024-10-09,resolved,low,Staff conduct,in_store,STR009,Phoenix Mall #9,Southwest,CUS00410,5.0,51.89,51.89,0,False,within_sla
TKT000087,2024-01-29 14:25:00,2024-01-31 14:52:46,2024-02-05 14:25:00,2024-01-29,resolved,low,Late delivery,in_store,STR009,Phoenix Mall #9,Southwest,CUS00156,5.0,48.46,48.46,0,False,within_sla
TKT000088,2024-01-26 07:36:00,2024-01-31 07:06:57,2024-02-02 07:36:00,2024-01-26,resolved,low,Pricing dispute,social,STR013,Portland Downtown #13,Midwest,CUS00121,3.0,119.52,119.52,0,False,within_sla
TKT000089,2024-11-20 13:26:00,2024-11-23 23:04:56,2024-11-27 13:26:00,2024-11-20,resolved,low,Staff conduct,chat,STR023,Kansas City Mall #23,Midwest,CUS00348,4.0,81.65,81.65,0,False,within_sla
TKT000090,2024-08-21 13:58:00,2024-08-22 12:36:56,2024-08-22 13:58:00,2024-08-21,resolved,high,Product defect,social,STR011,Los Angeles Mall #11,Northeast,CUS00218,4.0,22.65,22.65,0,False,within_sla
TKT000091,2024-05-20 10:04:00,2024-05-21 19:27:28,2024-05-27 10:04:00,2024-05-20,resolved,low,Online order issue,chat,STR018,Minneapolis Mall #18,Midwest,CUS00495,5.0,33.39,33.39,0,False,within_sla
TKT000092,2024-04-28 14:44:00,2024-04-29 13:24:25,2024-04-29 14:44:00,2024-04-28,resolved,high,Late delivery,in_store,STR009,Phoenix Mall #9,Southwest,CUS00052,4.0,22.67,22.67,0,False,within_sla
TKT000093,2024-03-16 08:45:00,2024-03-16 11:59:51,2024-03-16 12:45:00,2024-03-16,resolved,critical,Online order issue,in_store,STR022,Orlando Downtown #22,Southeast,CUS00324,5.0,3.25,3.25,0,False,within_sla
TKT000094,2024-12-18 13:10:00,2024-12-19 19:15:05,2024-12-25 13:10:00,2024-12-18,resolved,low,Staff conduct,chat,STR023,Kansas City Mall #23,Midwest,CUS00247,4.0,30.08,30.08,0,False,within_sla
TKT000095,2024-05-01 19:27:00,2024-05-02 02:12:07,2024-05-04 19:27:00,2024-05-01,resolved,medium,Wrong item,chat,STR020,San Diego Mall #20,West,CUS00447,4.0,6.75,6.75,0,False,within_sla
TKT000096,2024-11-23 15:53:00,2024-11-23 18:57:53,2024-11-30 15:53:00,2024-11-23,resolved,low,Online order issue,phone,STR018,Minneapolis Mall #18,Midwest,CUS00179,4.0,3.08,3.08,0,False,within_sla
TKT000097,2024-05-23 16:23:00,2024-05-26 06:10:22,2024-05-26 16:23:00,2024-05-23,resolved,medium,Late delivery,phone,STR014,San Francisco Mall #14,Southwest,CUS00185,4.0,61.79,61.79,0,False,within_sla
TKT000098,2024-06-02 11:43:00,2024-06-04 03:47:10,2024-06-05 11:43:00,2024-06-02,resolved,medium,Pricing dispute,email,STR011,Los Angeles Mall #11,Northeast,CUS00319,5.0,40.07,40.07,0,False,within_sla
TKT000099,2024-08-25 16:51:00,2024-08-26 19:53:45,2024-08-28 16:51:00,2024-08-25,resolved,medium,Late delivery,chat,STR018,Minneapolis Mall #18,Midwest,CUS00122,4.0,27.05,27.05,0,False,within_sla
TKT000100,2024-01-10 16:44:00,,2024-01-13 16:44:00,2024-01-10,escalated,medium,Wrong item,social,STR014,San Francisco Mall #14,Southwest,CUS00306,,,8547.52,1,True,pending_beyond_sla
TKT000101,2024-02-10 14:07:00,2024-02-12 08:15:07,2024-02-13 14:07:00,2024-02-10,resolved,medium,Wrong item,email,STR017,Charlotte Mall #17,Southeast,CUS00477,4.0,42.14,42.14,0,False,within_sla
TKT000102,2024-12-10 19:51:00,,2024-12-17 19:51:00,2024-12-10,pending,low,Store experience,phone,STR019,Philadelphia Downtown #19,Southwest,CUS00085,,,504.4,1,True,pending_beyond_sla
TKT000103,2024-03-02 19:47:00,,2024-03-05 19:47:00,2024-03-02,pending,medium,Refund request,chat,STR007,Dallas Downtown #7,Southeast,CUS00491,,,7296.47,1,True,pending_beyond_sla
TKT000104,2024-03-09 09:25:00,2024-03-09 14:25:15,2024-03-10 09:25:00,2024-03-09,resolved,high,Wrong item,chat,STR020,San Diego Mall #20,West,CUS00341,5.0,5.0,5.0,0,False,within_sla
TKT000105,2024-06-04 17:30:00,2024-06-04 19:04:54,2024-06-05 17:30:00,2024-06-04,resolved,high,Product defect,phone,STR021,Las Vegas Mall #21,Northeast,CUS00204,5.0,1.58,1.58,0,False,within_sla
TKT000106,2024-10-19 18:57:00,2024-10-22 15:57:01,2024-10-26 18:57:00,2024-10-19,resolved,low,Late delivery,in_store,STR011,Los Angeles Mall #11,Northeast,CUS00445,4.0,69.0,69.0,0,False,within_sla
TKT000107,2024-12-05 16:40:00,2024-12-11 13:14:27,2024-12-12 16:40:00,2024-12-05,resolved,low,Wrong item,social,STR004,Miami Downtown #4,Southwest,CUS00275,4.0,140.57,140.57,0,False,within_sla
TKT000108,2024-10-08 14:53:00,2024-10-10 16:47:25,2024-10-11 14:53:00,2024-10-08,resolved,medium,Refund request,in_store,STR016,Nashville Downtown #16,Northeast,CUS00280,5.0,49.91,49.91,0,False,within_sla
TKT000109,2024-10-11 10:00:00,2024-10-17 02:58:17,2024-10-18 10:00:00,2024-10-11,resolved,low,Store experience,social,STR010,Denver Downtown #10,West,CUS00399,4.0,136.97,136.97,0,False,within_sla
TKT000110,2024-12-19 18:02:00,2024-12-25 11:53:13,2024-12-22 18:02:00,2024-12-19,resolved,medium,Staff conduct,chat,STR013,Portland Downtown #13,Midwest,CUS00040,2.0,137.85,137.85,0,True,beyond_sla
TKT000111,2024-01-26 12:02:00,2024-01-28 15:33:45,2024-02-02 12:02:00,2024-01-26,resolved,low,Refund request,phone,STR021,Las Vegas Mall #21,Northeast,CUS00213,3.0,51.53,51.53,0,False,within_sla
TKT000112,2024-12-19 18:40:00,2024-12-20 03:47:06,2024-12-22 18:40:00,2024-12-19,resolved,medium,Store experience,in_store,STR002,Boston Mall #2,Southeast,CUS00204,4.0,9.12,9.12,0,False,within_sla
TKT000113,2024-05-19 15:31:00,2024-05-19 20:41:01,2024-05-20 15:31:00,2024-05-19,resolved,high,Wrong item,email,STR006,Detroit Mall #6,Northeast,CUS00042,5.0,5.17,5.17,0,False,within_sla
TKT000114,2024-02-24 08:36:00,2024-02-25 00:23:52,2024-02-27 08:36:00,2024-02-24,resolved,medium,Staff conduct,social,STR011,Los Angeles Mall #11,Northeast,CUS00208,5.0,15.8,15.8,0,False,within_sla
TKT000115,2024-04-13 13:34:00,2024-04-15 04:37:54,2024-04-16 13:34:00,2024-04-13,resolved,medium,Pricing dispute,email,STR003,Atlanta Mall #3,Midwest,CUS00422,3.0,39.07,39.06,0,False,within_sla
TKT000116,2024-10-04 18:34:00,2024-10-07 06:29:42,2024-10-11 18:34:00,2024-10-04,resolved,low,Wrong item,in_store,STR011,Los Angeles Mall #11,Northeast,CUS00227,5.0,59.93,59.93,0,False,within_sla
TKT000117,2024-10-11 14:44:00,2024-10-12 06:04:59,2024-10-18 14:44:00,2024-10-11,resolved,low,Refund request,in_store,STR020,San Diego Mall #20,West,CUS00255,4.0,15.35,15.35,0,False,within_sla
TKT000118,2024-01-16 08:56:00,2024-01-17 08:22:14,2024-01-19 08:56:00,2024-01-16,resolved,medium,Refund request,in_store,STR006,Detroit Mall #6,Northeast,CUS00255,5.0,23.44,23.44,0,False,within_sla
TKT000119,2024-07-20 18:39:00,,2024-07-21 18:39:00,2024-07-20,pending,high,Staff conduct,in_store,STR015,Austin Mall #15,West,CUS00141,,,3937.6,1,True,pending_beyond_sla
TKT000120,2024-08-07 08:36:00,2024-08-11 17:07:45,2024-08-10 08:36:00,2024-08-07,resolved,medium,Late delivery,email,STR021,Las Vegas Mall #21,Northeast,CUS00329,1.0,104.53,104.53,0,True,beyond_sla
TKT000121,2024-11-18 12:15:00,2024-11-18 22:58:28,2024-11-19 12:15:00,2024-11-18,resolved,high,Wrong item,chat,STR009,Phoenix Mall #9,Southwest,CUS00034,4.0,10.72,10.72,0,False,within_sla
TKT000122,2024-05-29 08:00:00,2024-05-29 23:21:27,2024-05-30 08:00:00,2024-05-29,resolved,high,Wrong item,in_store,STR016,Nashville Downtown #16,Northeast,CUS00116,4.0,15.36,15.36,0,False,within_sla
