ticket_id,opened_at,resolved_at,sla_due_at,status,priority,reason,channel,store_id,customer_id,csat,resolve_hours,within_sla,region
TKT000015,2024-06-05 19:09:00,2024-06-08 12:19:40,2024-06-12 19:09:00,resolved,low,Product defect,chat,STR009,CUS00300,4.0,65.18,True,Southwest
TKT000016,2024-07-09 09:50:00,2024-07-11 19:53:54,2024-07-12 09:50:00,resolved,medium,Pricing dispute,chat,STR009,CUS00021,3.0,58.07,True,Southwest
TKT000017,2024-04-07 11:02:00,2024-04-07 13:24:34,2024-04-08 11:02:00,resolved,high,Late delivery,email,STR018,CUS00137,3.0,2.38,True,Midwest
TKT000018,2024-05-15 11:31:00,,2024-05-18 11:31:00,escalated,medium,Late delivery,social,STR003,CUS00086,,,,Midwest
TKT000019,2024-12-25 17:49:00,2024-12-28 05:04:19,2025-01-01 17:49:00,resolved,low,Refund request,email,STR007,CUS00226,5.0,59.26,True,Southeast
TKT000020,2024-03-04 07:13:00,2024-03-07 09:26:14,2024-03-11 07:13:00,resolved,low,Wrong item,in_store,STR019,CUS00202,5.0,74.22,True,Southwest
TKT000021,2024-06-11 11:59:00,2024-06-11 18:51:41,2024-06-14 11:59:00,resolved,medium,Pricing dispute,phone,STR019,CUS00240,4.0,6.88,True,Southwest
TKT000022,2024-03-27 14:13:00,2024-03-27 16:56:27,2024-03-28 14:13:00,resolved,high,Late delivery,in_store,STR012,CUS00067,3.0,2.72,True,Southeast
TKT000023,2024-07-29 11:31:00,2024-08-05 23:35:10,2024-08-05 11:31:00,resolved,low,Staff conduct,chat,STR005,CUS00310,3.0,180.07,False,West
TKT000024,2024-09-09 07:30:00,,2024-09-10 07:30:00,escalated,high,Refund request,in_store,STR021,CUS00327,,,,Northeast
TKT000025,2024-02-12 19:38:00,2024-02-12 22:50:00,2024-02-12 23:38:00,resolved,critical,Late delivery,chat,STR012,CUS00027,5.0,3.2,True,Southeast
TKT000026,2024-10-09 20:02:00,2024-10-09 20:45:36,2024-10-10 00:02:00,resolved,critical,Wrong item,email,STR013,CUS00129,4.0,0.73,True,Midwest
TKT000027,2024-01-24 16:38:00,2024-02-01 08:55:07,2024-01-27 16:38:00,resolved,medium,Store experience,in_store,STR021,CUS00243,2.0,184.29,False,Northeast
TKT000028,2024-05-28 18:09:00,2024-05-31 09:45:00,2024-05-31 18:09:00,resolved,medium,Pricing dispute,phone,STR021,CUS00030,5.0,63.6,True,Northeast
TKT000029,2024-04-12 07:45:00,2024-04-12 11:28:46,2024-04-13 07:45:00,resolved,high,Late delivery,in_store,STR015,CUS00397,4.0,3.73,True,West
TKT000030,2024-06-26 15:06:00,2024-06-27 01:46:07,2024-06-29 15:06:00,resolved,medium,Online order issue,email,STR017,CUS00058,5.0,10.67,True,Southeast
TKT000031,2024-05-25 09:43:00,2024-05-26 09:37:06,2024-06-01 09:43:00,resolved,low,Online order issue,in_store,STR014,CUS00429,5.0,23.9,True,Southwest
TKT000032,2024-06-29 09:15:00,2024-06-30 11:13:21,2024-07-02 09:15:00,resolved,medium,Refund request,in_store,STR006,CUS00018,5.0,25.97,True,Northeast
TKT000033,2024-08-20 08:54:00,,2024-08-23 08:54:00,pending,medium,Product defect,email,STR016,CUS00355,,,,Northeast
TKT000034,2024-07-24 10:41:00,2024-07-24 19:05:28,2024-07-31 10:41:00,resolved,low,Online order issue,in_store,STR006,CUS00441,4.0,8.41,True,Northeast
TKT000035,2024-06-22 11:24:00,2024-06-28 20:44:02,2024-06-25 11:24:00,resolved,medium,Refund request,chat,STR020,CUS00079,1.0,153.33,False,West
TKT000036,2024-05-25 08:38:00,2024-06-04 06:35:09,2024-06-01 08:38:00,resolved,low,Pricing dispute,chat,STR002,CUS00469,3.0,237.95,False,Southeast
TKT000037,2024-06-19 14:48:00,2024-06-21 20:44:02,2024-06-22 14:48:00,resolved,medium,Wrong item,email,STR007,CUS00240,5.0,53.93,True,Southeast
TKT000038,2024-06-02 10:22:00,2024-06-04 18:25:10,2024-06-05 10:22:00,resolved,medium,Pricing dispute,chat,STR013,CUS00356,5.0,56.05,True,Midwest
TKT000039,2024-08-26 20:00:00,,2024-09-02 20:00:00,pending,low,Product defect,chat,STR005,CUS00132,,,,West
TKT000040,2024-04-30 15:33:00,2024-04-30 18:00:43,2024-05-03 15:33:00,resolved,medium,Wrong item,phone,STR007,CUS00056,4.0,2.46,True,Southeast
TKT000041,2024-11-18 07:42:00,2024-12-01 19:05:44,2024-11-25 07:42:00,resolved,low,Refund request,phone,STR017,CUS00034,3.0,323.4,False,Southeast
TKT000042,2024-10-25 12:45:00,2024-10-27 03:45:48,2024-10-28 12:45:00,resolved,medium,Store experience,social,STR013,CUS00167,3.0,39.01,True,Midwest
TKT000043,2024-03-28 19:55:00,2024-04-03 04:24:35,2024-04-04 19:55:00,resolved,low,Store experience,email,STR020,CUS00328,3.0,128.49,True,West
TKT000044,2024-08-28 08:02:00,2024-09-01 01:14:52,2024-09-04 08:02:00,resolved,low,Pricing dispute,in_store,STR007,CUS00273,4.0,89.21,True,Southeast
TKT000045,2024-09-13 12:07:00,2024-09-23 09:09:35,2024-09-20 12:07:00,closed_unresolved,low,Staff conduct,phone,STR023,CUS00044,1.0,237.04,False,Midwest
TKT000046,2024-02-03 09:19:00,2024-02-03 12:27:08,2024-02-04 09:19:00,resolved,high,Refund request,chat,STR018,CUS00116,4.0,3.14,True,Midwest
TKT000047,2024-06-21 08:33:00,2024-06-21 09:56:30,2024-06-24 08:33:00,resolved,medium,Online order issue,in_store,STR009,CUS00234,3.0,1.39,True,Southwest
TKT000048,2024-08-29 20:09:00,2024-08-30 03:03:49,2024-08-30 20:09:00,resolved,high,Refund request,chat,STR002,CUS00119,5.0,6.91,True,Southeast
TKT000049,2024-09-01 14:15:00,2024-09-03 17:22:31,2024-09-02 14:15:00,resolved,high,Refund request,social,STR005,CUS00300,2.0,51.13,False,West
TKT000050,2024-02-22 11:15:00,2024-02-22 13:23:49,2024-02-22 15:15:00,resolved,critical,Staff conduct,email,STR013,CUS00015,3.0,2.15,True,Midwest
TKT000051,2024-01-26 11:51:00,2024-01-28 22:36:04,2024-01-27 11:51:00,resolved,high,Store experience,chat,STR010,CUS00011,1.0,58.75,False,West
TKT000052,2024-04-18 12:39:00,2024-04-19 14:48:57,2024-04-21 12:39:00,resolved,medium,Pricing dispute,in_store,STR003,CUS00128,5.0,26.17,True,Midwest
TKT000053,2024-01-25 16:35:00,2024-02-04 15:15:02,2024-02-01 16:35:00,resolved,low,Store experience,chat,STR013,CUS00279,2.0,238.67,False,Midwest
TKT000054,2024-12-21 09:18:00,2024-12-22 03:01:44,2024-12-22 09:18:00,resolved,high,Online order issue,email,STR019,CUS00304,5.0,17.73,True,Southwest
TKT000055,2024-07-13 09:56:00,2024-07-18 01:38:51,2024-07-20 09:56:00,resolved,low,Store experience,phone,STR003,CUS00221,5.0,111.71,True,Midwest
TKT000056,2024-11-26 18:03:00,2024-11-28 05:34:26,2024-12-03 18:03:00,resolved,low,Online order issue,chat,STR015,CUS00407,5.0,35.52,True,West
TKT000057,2024-12-09 09:39:00,2024-12-18 18:51:44,2024-12-16 09:39:00,resolved,low,Late delivery,chat,STR006,CUS00486,1.0,225.21,False,Northeast
TKT000058,2024-01-26 19:03:00,2024-01-31 03:11:16,2024-02-02 19:03:00,resolved,low,Staff conduct,social,STR023,CUS00341,4.0,104.14,True,Midwest
TKT000059,2024-03-08 13:52:00,2024-03-10 11:34:32,2024-03-09 13:52:00,resolved,high,Staff conduct,phone,STR016,CUS00404,2.0,45.71,False,Northeast
TKT000060,2024-04-19 18:21:00,2024-04-22 12:50:16,2024-04-22 18:21:00,resolved,medium,Product defect,in_store,STR004,CUS00333,3.0,66.49,True,Southwest
TKT000061,2024-02-29 14:29:00,,2024-03-01 14:29:00,escalated,high,Online order issue,chat,STR012,CUS00090,,,,Southeast
TKT000062,2024-12-06 12:26:00,,2024-12-09 12:26:00,pending,medium,Wrong item,phone,STR019,CUS00020,,,,Southwest
TKT000063,2024-12-11 15:31:00,2024-12-11 18:45:58,2024-12-11 19:31:00,resolved,critical,Late delivery,in_store,STR014,CUS00423,4.0,3.25,True,Southwest
TKT000064,2024-04-06 16:45:00,,2024-04-07 16:45:00,pending,high,Pricing dispute,chat,STR018,CUS00270,,,,Midwest
TKT000065,2024-08-23 11:19:00,2024-08-25 16:02:39,2024-08-26 11:19:00,resolved,medium,Refund request,email,STR008,CUS00075,5.0,52.73,True,Midwest
TKT000066,2024-12-16 19:53:00,2024-12-16 20:57:25,2024-12-16 23:53:00,resolved,critical,Online order issue,phone,STR023,CUS00371,5.0,1.07,True,Midwest
TKT000067,2024-11-09 14:33:00,,2024-11-12 14:33:00,pending,medium,Online order issue,chat,STR009,CUS00478,,,,Southwest
TKT000068,2024-09-04 14:45:00,2024-09-05 07:05:21,2024-09-07 14:45:00,resolved,medium,Wrong item,chat,STR014,CUS00172,3.0,16.34,True,Southwest
TKT000069,2024-10-01 12:47:00,2024-10-01 22:55:34,2024-10-04 12:47:00,resolved,medium,Late delivery,phone,STR011,CUS00124,4.0,10.14,True,Northeast
TKT000070,2024-01-11 13:36:00,2024-01-11 18:46:48,2024-01-12 13:36:00,resolved,high,Online order issue,email,STR016,CUS00287,3.0,5.18,True,Northeast
TKT000071,2024-12-22 16:24:00,2024-12-24 19:40:33,2024-12-25 16:24:00,resolved,medium,Product defect,in_store,STR021,CUS00403,4.0,51.28,True,Northeast
TKT000072,2024-06-25 11:19:00,2024-06-26 15:21:46,2024-06-28 11:19:00,resolved,medium,Store experience,email,STR004,CUS00308,5.0,28.05,True,Southwest
TKT000073,2024-07-26 17:45:00,,2024-07-29 17:45:00,pending,medium,Pricing dispute,chat,STR007,CUS00236,,,,Southeast
TKT000074,2024-09-08 16:10:00,2024-09-09 03:08:43,2024-09-09 16:10:00,resolved,high,Pricing dispute,chat,STR019,CUS00061,5.0,10.98,True,Southwest
TKT000075,2024-03-30 19:10:00,2024-04-01 23:52:44,2024-04-02 19:10:00,resolved,medium,Wrong item,social,STR016,CUS00360,4.0,52.71,True,Northeast
TKT000076,2024-04-10 11:47:00,2024-04-11 03:58:58,2024-04-11 11:47:00,resolved,high,Product defect,email,STR019,CUS00281,4.0,16.2,True,Southwest
TKT000077,2024-05-31 14:25:00,,2024-06-03 14:25:00,escalated,medium,Late delivery,chat,STR002,CUS00027,,,,Southeast
TKT000078,2024-06-21 19:52:00,,2024-06-28 19:52:00,escalated,low,Pricing dispute,in_store,STR007,CUS00231,,,,Southeast
TKT000079,2024-10-28 09:25:00,2024-10-28 15:13:59,2024-10-29 09:25:00,resolved,high,Online order issue,in_store,STR015,CUS00442,5.0,5.82,True,West
TKT000080,2024-12-23 16:06:00,2024-12-26 10:38:14,2024-12-26 16:06:00,resolved,medium,Staff conduct,phone,STR003,CUS00213,4.0,66.54,True,Midwest
TKT000081,2024-08-25 18:19:00,2024-08-27 14:51:54,2024-09-01 18:19:00,resolved,low,Product defect,in_store,STR021,CUS00431,5.0,44.55,True,Northeast
TKT000082,2024-05-13 18:16:00,2024-05-15 12:19:05,2024-05-20 18:16:00,resolved,low,Wrong item,in_store,STR013,CUS00454,5.0,42.05,True,Midwest
TKT000083,2024-04-13 10:40:00,,2024-04-20 10:40:00,pending,low,Wrong item,in_store,STR012,CUS00261,,,,Southeast
TKT000084,2024-05-03 20:20:00,2024-05-04 02:42:01,2024-05-06 20:20:00,resolved,medium,Pricing dispute,chat,STR012,CUS00497,4.0,6.37,True,Southeast
TKT000085,2024-11-29 09:38:00,2024-12-01 16:02:01,2024-12-02 09:38:00,resolved,medium,Wrong item,email,STR008,CUS00303,5.0,54.4,True,Midwest
TKT000086,2024-10-09 14:34:00,2024-10-11 18:27:38,2024-10-16 14:34:00,resolved,low,Staff conduct,in_store,STR009,CUS00410,5.0,51.89,True,Southwest
TKT000087,2024-01-29 14:25:00,2024-01-31 14:52:46,2024-02-05 14:25:00,resolved,low,Late delivery,in_store,STR009,CUS00156,5.0,48.46,True,Southwest
TKT000088,2024-01-26 07:36:00,2024-01-31 07:06:57,2024-02-02 07:36:00,resolved,low,Pricing dispute,social,STR013,CUS00121,3.0,119.52,True,Midwest
TKT000089,2024-11-20 13:26:00,2024-11-23 23:04:56,2024-11-27 13:26:00,resolved,low,Staff conduct,chat,STR023,CUS00348,4.0,81.65,True,Midwest
TKT000090,2024-08-21 13:58:00,2024-08-22 12:36:56,2024-08-22 13:58:00,resolved,high,Product defect,social,STR011,CUS00218,4.0,22.65,True,Northeast
TKT000091,2024-05-20 10:04:00,2024-05-21 19:27:28,2024-05-27 10:04:00,resolved,low,Online order issue,chat,STR018,CUS00495,5.0,33.39,True,Midwest
TKT000092,2024-04-28 14:44:00,2024-04-29 13:24:25,2024-04-29 14:44:00,resolved,high,Late delivery,in_store,STR009,CUS00052,4.0,22.67,True,Southwest
TKT000093,2024-03-16 08:45:00,2024-03-16 11:59:51,2024-03-16 12:45:00,resolved,critical,Online order issue,in_store,STR022,CUS00324,5.0,3.25,True,Southeast
TKT000094,2024-12-18 13:10:00,2024-12-19 19:15:05,2024-12-25 13:10:00,resolved,low,Staff conduct,chat,STR023,CUS00247,4.0,30.08,True,Midwest
TKT000095,2024-05-01 19:27:00,2024-05-02 02:12:07,2024-05-04 19:27:00,resolved,medium,Wrong item,chat,STR020,CUS00447,4.0,6.75,True,West
TKT000096,2024-11-23 15:53:00,2024-11-23 18:57:53,2024-11-30 15:53:00,resolved,low,Online order issue,phone,STR018,CUS00179,4.0,3.08,True,Midwest
TKT000097,2024-05-23 16:23:00,2024-05-26 06:10:22,2024-05-26 16:23:00,resolved,medium,Late delivery,phone,STR014,CUS00185,4.0,61.79,True,Southwest
TKT000098,2024-06-02 11:43:00,2024-06-04 03:47:10,2024-06-05 11:43:00,resolved,medium,Pricing dispute,email,STR011,CUS00319,5.0,40.07,True,Northeast
TKT000099,2024-08-25 16:51:00,2024-08-26 19:53:45,2024-08-28 16:51:00,resolved,medium,Late delivery,chat,STR018,CUS00122,4.0,27.05,True,Midwest
TKT000100,2024-01-10 16:44:00,,2024-01-13 16:44:00,escalated,medium,Wrong item,social,STR014,CUS00306,,,,Southwest
TKT000101,2024-02-10 14:07:00,2024-02-12 08:15:07,2024-02-13 14:07:00,resolved,medium,Wrong item,email,STR017,CUS00477,4.0,42.14,True,Southeast
TKT000102,2024-12-10 19:51:00,,2024-12-17 19:51:00,pending,low,Store experience,phone,STR019,CUS00085,,,,Southwest
TKT000103,2024-03-02 19:47:00,,2024-03-05 19:47:00,pending,medium,Refund request,chat,STR007,CUS00491,,,,Southeast
TKT000104,2024-03-09 09:25:00,2024-03-09 14:25:15,2024-03-10 09:25:00,resolved,high,Wrong item,chat,STR020,CUS00341,5.0,5.0,True,West
TKT000105,2024-06-04 17:30:00,2024-06-04 19:04:54,2024-06-05 17:30:00,resolved,high,Product defect,phone,STR021,CUS00204,5.0,1.58,True,Northeast
TKT000106,2024-10-19 18:57:00,2024-10-22 15:57:01,2024-10-26 18:57:00,resolved,low,Late delivery,in_store,STR011,CUS00445,4.0,69.0,True,Northeast
TKT000107,2024-12-05 16:40:00,2024-12-11 13:14:27,2024-12-12 16:40:00,resolved,low,Wrong item,social,STR004,CUS00275,4.0,140.57,True,Southwest
TKT000108,2024-10-08 14:53:00,2024-10-10 16:47:25,2024-10-11 14:53:00,resolved,medium,Refund request,in_store,STR016,CUS00280,5.0,49.91,True,Northeast
TKT000109,2024-10-11 10:00:00,2024-10-17 02:58:17,2024-10-18 10:00:00,resolved,low,Store experience,social,STR010,CUS00399,4.0,136.97,True,West
TKT000110,2024-12-19 18:02:00,2024-12-25 11:53:13,2024-12-22 18:02:00,resolved,medium,Staff conduct,chat,STR013,CUS00040,2.0,137.85,False,Midwest
TKT000111,2024-01-26 12:02:00,2024-01-28 15:33:45,2024-02-02 12:02:00,resolved,low,Refund request,phone,STR021,CUS00213,3.0,51.53,True,Northeast
TKT000112,2024-12-19 18:40:00,2024-12-20 03:47:06,2024-12-22 18:40:00,resolved,medium,Store experience,in_store,STR002,CUS00204,4.0,9.12,True,Southeast
TKT000113,2024-05-19 15:31:00,2024-05-19 20:41:01,2024-05-20 15:31:00,resolved,high,Wrong item,email,STR006,CUS00042,5.0,5.17,True,Northeast
TKT000114,2024-02-24 08:36:00,2024-02-25 00:23:52,2024-02-27 08:36:00,resolved,medium,Staff conduct,social,STR011,CUS00208,5.0,15.8,True,Northeast
TKT000115,2024-04-13 13:34:00,2024-04-15 04:37:54,2024-04-16 13:34:00,resolved,medium,Pricing dispute,email,STR003,CUS00422,3.0,39.07,True,Midwest
TKT000116,2024-10-04 18:34:00,2024-10-07 06:29:42,2024-10-11 18:34:00,resolved,low,Wrong item,in_store,STR011,CUS00227,5.0,59.93,True,Northeast
TKT000117,2024-10-11 14:44:00,2024-10-12 06:04:59,2024-10-18 14:44:00,resolved,low,Refund request,in_store,STR020,CUS00255,4.0,15.35,True,West
TKT000118,2024-01-16 08:56:00,2024-01-17 08:22:14,2024-01-19 08:56:00,resolved,medium,Refund request,in_store,STR006,CUS00255,5.0,23.44,True,Northeast
TKT000119,2024-07-20 18:39:00,,2024-07-21 18:39:00,pending,high,Staff conduct,in_store,STR015,CUS00141,,,,West
TKT000120,2024-08-07 08:36:00,2024-08-11 17:07:45,2024-08-10 08:36:00,resolved,medium,Late delivery,email,STR021,CUS00329,1.0,104.53,False,Northeast
TKT000121,2024-11-18 12:15:00,2024-11-18 22:58:28,2024-11-19 12:15:00,resolved,high,Wrong item,chat,STR009,CUS00034,4.0,10.72,True,Southwest
TKT000122,2024-05-29 08:00:00,2024-05-29 23:21:27,2024-05-30 08:00:00,resolved,high,Wrong item,in_store,STR016,CUS00116,4.0,15.36,True,Northeast
TKT000123,2024-07-14 07:26:00,,2024-07-17 07:26:00,pending,medium,Pricing dispute,social,STR012,CUS00446,,,,Southeast
TKT000124,2024-10-22 11:29:00,2024-10-22 23:31:32,2024-10-23 11:29:00,resolved,high,Refund request,social,STR006,CUS00486,4.0,12.04,True,Northeast
TKT000125,2024-01-20 11:31:00,2024-01-26 12:23:33,2024-01-27 11:31:00,resolved,low,Refund request,in_store,STR005,CUS00491,3.0,144.88,True,West
TKT000126,2024-04-17 10:14:00,,2024-04-24 10:14:00,escalated,low,Product defect,chat,STR022,CUS00078,,,,Southeast
TKT000127,2024-05-28 15:41:00,2024-06-04 04:07:45,2024-06-04 15:41:00,resolved,low,Late delivery,email,STR014,CUS00195,4.0,156.45,True,Southwest
TKT000128,2024-12-21 11:56:00,2024-12-22 09:07:38,2024-12-22 11:56:00,resolved,high,Late delivery,in_store,STR009,CUS00493,4.0,21.19,True,Southwest
TKT000129,2024-04-07 18:05:00,2024-04-12 09:22:41,2024-04-14 18:05:00,resolved,low,Refund request,phone,STR002,CUS00425,3.0,111.29,True,Southeast
TKT000130,2024-09-29 20:58:00,,2024-10-02 20:58:00,pending,medium,Late delivery,social,STR003,CUS00106,,,,Midwest
TKT000131,2024-02-03 20:26:00,2024-02-03 21:00:55,2024-02-04 00:26:00,resolved,critical,Late delivery,phone,STR010,CUS00022,5.0,0.58,True,West
TKT000132,2024-11-08 10:24:00,2024-11-13 00:32:19,2024-11-15 10:24:00,resolved,low,Wrong item,email,STR009,CUS00264,5.0,110.14,True,Southwest
TKT000133,2024-05-27 12:22:00,2024-05-29 05:19:19,2024-05-28 12:22:00,resolved,high,Staff conduct,social,STR022,CUS00212,1.0,40.96,False,Southeast
TKT000134,2024-05-19 16:51:00,,2024-05-22 16:51:00,pending,medium,Pricing dispute,in_store,STR001,CUS00297,,,,Northeast
TKT000135,2024-03-31 13:57:00,2024-04-01 12:09:06,2024-04-03 13:57:00,resolved,medium,Product defect,email,STR020,CUS00221,5.0,22.2,True,West
TKT000136,2024-08-31 10:24:00,2024-09-04 15:48:40,2024-09-07 10:24:00,resolved,low,Product defect,email,STR003,CUS00103,4.0,101.41,True,Midwest
TKT000137,2024-07-14 16:15:00,,2024-07-17 16:15:00,pending,medium,Staff conduct,email,STR011,CUS00375,,,,Northeast
TKT000138,2024-09-01 09:53:00,2024-09-03 08:27:07,2024-09-04 09:53:00,resolved,medium,Late delivery,social,STR002,CUS00357,5.0,46.57,True,Southeast
TKT000139,2024-05-13 10:27:00,,2024-05-20 10:27:00,pending,low,Pricing dispute,email,STR001,CUS00379,,,,Northeast
TKT000140,2024-02-16 19:05:00,,2024-02-23 19:05:00,pending,low,Wrong item,chat,STR018,CUS00412,,,,Midwest
TKT000141,2024-04-05 14:17:00,2024-04-06 16:06:39,2024-04-08 14:17:00,resolved,medium,Store experience,chat,STR002,CUS00200,4.0,25.83,True,Southeast
TKT000142,2024-09-11 16:28:00,,2024-09-18 16:28:00,pending,low,Online order issue,in_store,STR014,CUS00348,,,,Southwest
TKT000143,2024-04-09 16:11:00,,2024-04-12 16:11:00,pending,medium,Late delivery,in_store,STR022,CUS00298,,,,Southeast
TKT000144,2024-02-29 08:39:00,,2024-03-03 08:39:00,pending,medium,Product defect,chat,STR004,CUS00197,,,,Southwest
TKT000145,2024-03-20 15:42:00,2024-04-06 14:35:51,2024-03-27 15:42:00,resolved,low,Staff conduct,chat,STR004,CUS00304,2.0,406.9,False,Southwest
TKT000146,2024-03-23 12:08:00,2024-03-23 13:07:02,2024-03-30 12:08:00,resolved,low,Wrong item,chat,STR008,CUS00214,4.0,0.98,True,Midwest
TKT000147,2024-05-24 16:23:00,2024-05-26 13:47:28,2024-05-27 16:23:00,resolved,medium,Late delivery,email,STR019,CUS00492,5.0,45.41,True,Southwest
TKT000148,2024-10-18 08:56:00,,2024-10-21 08:56:00,escalated,medium,Wrong item,phone,STR017,CUS00340,,,,Southeast
TKT000149,2024-03-20 19:10:00,2024-03-25 21:55:53,2024-03-27 19:10:00,resolved,low,Late delivery,chat,STR001,CUS00213,4.0,122.76,True,Northeast
TKT000150,2024-08-10 10:30:00,,2024-08-13 10:30:00,pending,medium,Product defect,email,STR016,CUS00415,,,,Northeast
TKT000151,2024-02-06 13:04:00,2024-02-08 01:07:11,2024-02-09 13:04:00,resolved,medium,Wrong item,social,STR007,CUS00293,3.0,36.05,True,Southeast
TKT000152,2024-07-24 14:48:00,2024-07-25 00:46:10,2024-07-27 14:48:00,resolved,medium,Online order issue,social,STR004,CUS00443,5.0,9.97,True,Southwest
TKT000153,2024-01-03 20:25:00,2024-01-06 02:05:08,2024-01-06 20:25:00,resolved,medium,Store experience,chat,STR014,CUS00475,5.0,53.67,True,Southwest
TKT000154,2024-05-21 08:39:00,,2024-05-22 08:39:00,escalated,high,Wrong item,phone,STR016,CUS00336,,,,Northeast
TKT000155,2024-03-08 18:18:00,,2024-03-11 18:18:00,pending,medium,Staff conduct,chat,STR015,CUS00489,,,,West
TKT000156,2024-11-20 08:21:00,2024-11-21 12:19:59,2024-11-23 08:21:00,resolved,medium,Refund request,phone,STR002,CUS00304,5.0,27.98,True,Southeast
TKT000157,2024-11-24 13:58:00,,2024-12-01 13:58:00,escalated,low,Wrong item,chat,STR021,CUS00105,,,,Northeast
TKT000158,2024-12-21 17:41:00,2024-12-24 11:08:05,2024-12-24 17:41:00,resolved,medium,Staff conduct,in_store,STR001,CUS00406,4.0,65.45,True,Northeast
TKT000159,2024-02-17 16:21:00,,2024-02-24 16:21:00,pending,low,Online order issue,social,STR006,CUS00485,,,,Northeast
TKT000160,2024-10-31 11:24:00,,2024-11-01 11:24:00,escalated,high,Product defect,in_store,STR023,CUS00067,,,,Midwest
TKT000161,2024-09-30 19:57:00,2024-10-04 03:25:55,2024-10-07 19:57:00,resolved,low,Refund request,social,STR004,CUS00059,4.0,79.48,True,Southwest
TKT000162,2024-12-16 12:17:00,2024-12-16 16:54:04,2024-12-16 16:17:00,resolved,critical,Product defect,social,STR009,CUS00377,3.0,4.62,False,Southwest
TKT000163,2024-04-09 10:31:00,2024-04-11 23:25:32,2024-04-12 10:31:00,resolved,medium,Online order issue,social,STR019,CUS00074,3.0,60.91,True,Southwest
TKT000164,2024-09-08 11:04:00,2024-09-12 09:06:00,2024-09-11 11:04:00,resolved,medium,Store experience,social,STR010,CUS00081,1.0,94.03,False,West
TKT000165,2024-03-09 07:06:00,2024-03-09 08:04:30,2024-03-09 11:06:00,resolved,critical,Wrong item,chat,STR009,CUS00163,5.0,0.98,True,Southwest
TKT000166,2024-11-26 19:42:00,2024-11-28 10:32:33,2024-12-03 19:42:00,resolved,low,Refund request,phone,STR021,CUS00434,5.0,38.84,True,Northeast
TKT000167,2024-07-27 07:38:00,2024-07-28 03:40:06,2024-07-28 07:38:00,resolved,high,Late delivery,email,STR021,CUS00430,5.0,20.04,True,Northeast
TKT000168,2024-12-09 14:52:00,2024-12-12 22:38:04,2024-12-16 14:52:00,resolved,low,Store experience,email,STR001,CUS00088,5.0,79.77,True,Northeast
TKT000169,2024-06-01 14:55:00,2024-06-02 10:05:47,2024-06-04 14:55:00,resolved,medium,Late delivery,social,STR013,CUS00160,4.0,19.18,True,Midwest
TKT000170,2024-04-28 08:26:00,2024-04-28 09:56:11,2024-04-28 12:26:00,resolved,critical,Staff conduct,in_store,STR011,CUS00206,5.0,1.5,True,Northeast
